g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 0.034001360729012664 111 6 1 1.51 1 0.14860607298695988 0.0 6.6924588
true 0.031626354871382656 471 6 1 1.51 2 0.14860607298695988 0.0 3.4326254
true 0.0002799158648338351 3148 6 1 1.51 3 0.14860607298695988 0.0 28.8912366
true 0.00017212150443657315 4497 6 1 1.51 4 0.14860607298695988 0.0 53.0584546
true 0.033643316940213 106 6 2 1.51 1 0.14860607298695988 0.0 0.5001209
true 0.0009651742434413635 640 6 2 1.51 2 0.14860607298695988 0.0 4.5206505
true 0.001402901977567289 5604 6 2 1.51 3 0.14860607298695988 0.0 53.3269573
true 0.000568051544159176 5115 6 2 1.51 4 0.14860607298695988 0.0 60.5004391
true 0.03352418960922593 120 6 3 1.51 1 0.14860607298695988 0.0 0.6619749
true 0.0010159704502434124 367 6 3 1.51 2 0.14860607298695988 0.0 3.006686
true 0.0001672459614930344 2469 6 3 1.51 3 0.14860607298695988 0.0 24.0088255
true 0.0007697434591138105 6822 6 3 1.51 4 0.14860607298695988 0.0 82.8040509
true 0.03243053847859215 112 6 4 1.51 1 0.14860607298695988 0.0 0.5860795
true 0.0007929407328591126 2141 6 4 1.51 2 0.14860607298695988 0.0 15.4862335
true 0.0010083748450112479 1878 6 4 1.51 3 0.14860607298695988 0.0 18.2001864
true 0.0007163526033083095 2140 6 4 1.51 4 0.14860607298695988 0.0 28.6216536
true 0.03177489819192998 162 6 5 1.51 1 0.14860607298695988 0.0 0.8334033
true 0.0007965333239421946 923 6 5 1.51 2 0.14860607298695988 0.0 6.6267626
true 9.872153486190083e-5 6689 6 5 1.51 3 0.14860607298695988 0.0 64.7559345
true 0.0009925450765062571 9648 6 5 1.51 4 0.14860607298695988 0.0 119.6712356
true 0.18205035250397672 303 6 6 1.51 1 0.14860607298695988 0.0 1.4137561
true 0.0006989544038399353 1666 6 6 1.51 2 0.14860607298695988 0.0 11.9336904
true 0.021203660442827704 2589 6 6 1.51 3 0.14860607298695988 0.0 26.3231178
true 0.0009327666531535328 4863 6 6 1.51 4 0.14860607298695988 0.0 59.3054298
true 0.03345552244398642 95 6 1 1.52 1 0.14676781227962965 0.0 0.5253161
true 0.0010234820054526583 530 6 1 1.52 2 0.14676781227962965 0.0 4.0323861
true 0.0009435450483771812 949 6 1 1.52 3 0.14676781227962965 0.0 10.5107026
true 0.00026720546429914727 3981 6 1 1.52 4 0.14676781227962965 0.0 51.5673025
true 0.03311090364776642 108 6 2 1.52 1 0.14676781227962965 0.0 0.6248824
true 0.0009377314104205836 680 6 2 1.52 2 0.14676781227962965 0.0 5.7066884
true 0.001263532876923379 2005 6 2 1.52 3 0.14676781227962965 0.0 24.222602
true 0.0005091934323142033 3289 6 2 1.52 4 0.14676781227962965 0.0 51.6399916
true 0.03299591152327449 116 6 3 1.52 1 0.14676781227962965 0.0 0.797163
true 0.0009520857780480618 488 6 3 1.52 2 0.14676781227962965 0.0 5.0824252
true 0.00022703784322514187 3703 6 3 1.52 3 0.14676781227962965 0.0 52.8797644
true 0.000516947110956382 4208 6 3 1.52 4 0.14676781227962965 0.0 79.1532275
true 0.031934976926652967 149 6 4 1.52 1 0.14676781227962965 0.0 1.1422232
true 0.0007731103766798336 1695 6 4 1.52 2 0.14676781227962965 0.0 18.8946485
true 0.00015642018173338268 4773 6 4 1.52 3 0.14676781227962965 0.0 66.917799
true 0.0002405976627102291 7815 6 4 1.52 4 0.14676781227962965 0.0 133.8748986
true 0.031294671123407614 158 6 5 1.52 1 0.14676781227962965 0.0 1.1975063
true 0.0007722202798014277 1287 6 5 1.52 2 0.14676781227962965 0.0 13.2209059
true 0.00023450492706378334 2190 6 5 1.52 3 0.14676781227962965 0.0 31.8679967
true 0.00011179823589712035 4229 6 5 1.52 4 0.14676781227962965 0.0 74.6125644
true 0.026079774881759842 248 6 6 1.52 1 0.14676781227962965 0.0 1.6157457
true 0.0006820818075076821 1737 6 6 1.52 2 0.14676781227962965 0.0 17.9650071
true 0.0053135958373366115 3775 6 6 1.52 3 0.14676781227962965 0.0 53.764144
true 0.0004948813654511904 1304 6 6 1.52 4 0.14676781227962965 0.0 26.5466194
true 0.03292337349349872 104 6 1 1.53 1 0.14496629210198328 0.0 0.7480143
true 0.0010137415312367892 702 6 1 1.53 2 0.14496629210198328 0.0 7.8262351
true 0.0003002681858297329 3357 6 1 1.53 3 0.14496629210198328 0.0 46.4971582
true 0.0007925842716839382 4341 6 1 1.53 4 0.14496629210198328 0.0 77.2718552
true 0.03259089828528963 110 6 2 1.53 1 0.14496629210198328 0.0 0.7716373
true 0.030274489961723994 917 6 2 1.53 2 0.14496629210198328 0.0 9.8450722
true 0.0012611845518597231 2401 6 2 1.53 3 0.14496629210198328 0.0 32.9535264
