g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 1.768670161439445e-7 538 15 1 0.0 1 0.0 1.0 6.5139737
true 1.4294536537784452e-7 850 15 1 0.0 2 0.0 1.0 22.8703076
true 8.312923561626384e-6 1423 15 1 0.0 3 0.0 1.0 64.316995
true 3.2165465918554403e-5 6753 15 1 0.0 4 0.0 1.0 333.4217875
true 9.527161463213085e-8 710 15 8 0.0 1 0.0 1.0 8.4135795
true 0.12491275530375359 2819 15 8 0.0 2 0.0 1.0 57.2132928
true 1.0263383775646617e-5 14414 15 8 0.0 3 0.0 1.0 442.5955339
true 3.7297811489291066e-5 46138 15 8 0.0 4 0.0 1.0 1742.2631128
true 0.2666671528545831 1258 15 15 0.0 1 0.0 1.0 14.5978208
true 0.03333546776964202 10913 15 15 0.0 2 0.0 1.0 210.0760095
true 0.06666489615866504 5117 15 15 0.0 3 0.0 1.0 158.0523418
true 6.130964281435558e-5 14931 15 15 0.0 4 0.0 1.0 626.7722871
true 2.1527184485004014e-7 422 15 1 0.02 1 1.3876096831942148e-8 1.0 5.0582442
true 1.2217797762392735e-6 1272 15 1 0.02 2 1.3876096831942148e-8 1.0 28.8115329
true 4.862900936375425e-7 1530 15 1 0.02 3 1.3876096831942148e-8 1.0 61.1929266
true 5.072855092475015e-5 6619 15 1 0.02 4 1.3876096831942148e-8 1.0 321.7205
true 7.99569839435299e-8 623 15 8 0.02 1 1.3876096831942148e-8 1.0 7.3261766
true 7.685325493798911e-6 5133 15 8 0.02 2 1.3876096831942148e-8 1.0 107.4178122
true 4.97033818567319e-5 7643 15 8 0.02 3 1.3876096831942148e-8 1.0 236.3536811
true 4.663182023861845e-5 13855 15 8 0.02 4 1.3876096831942148e-8 1.0 574.7033756
true 0.2000419834731236 1448 15 15 0.02 1 1.3876096831942148e-8 1.0 18.2250958
true 9.119155429577752e-5 13711 15 15 0.02 2 1.3876096831942148e-8 1.0 271.8872685
true 4.0618027014893696e-5 5200 15 15 0.02 3 1.3876096831942148e-8 1.0 167.2715654
true 0.03341186989517664 16408 15 15 0.02 4 1.3876096831942148e-8 1.0 645.757082
true 4.961932414948578e-7 490 15 1 0.04 1 1.9450195370713674e-7 0.9998666666666668 5.7543428
true 1.2073844009530266e-5 894 15 1 0.04 2 1.9450195370713674e-7 0.9998666666666668 22.7881467
true 1.0921288039811294e-5 4047 15 1 0.04 3 1.9450195370713674e-7 0.9998666666666668 125.5703126
true 2.007585683988511e-5 5749 15 1 0.04 4 1.9450195370713674e-7 0.9998666666666668 276.3846813
true 0.1250001327341095 659 15 8 0.04 1 1.9450195370713674e-7 0.9998666666666668 7.8298345
true 4.089950517968677e-6 5256 15 8 0.04 2 1.9450195370713674e-7 0.9998666666666668 100.3608143
true 6.916559079722662e-6 4366 15 8 0.04 3 1.9450195370713674e-7 0.9998666666666668 147.8434636
true 3.178690185973165e-5 13643 15 8 0.04 4 1.9450195370713674e-7 0.9998666666666668 565.1458136
true 0.2666681944931175 1227 15 15 0.04 1 1.9450195370713674e-7 0.9998666666666668 14.987659
true 3.2203394187491076e-5 23433 15 15 0.04 2 1.9450195370713674e-7 0.9998666666666668 445.1869676
true 1.1680668593535189e-5 16025 15 15 0.04 3 1.9450195370713674e-7 0.9998666666666668 472.4022593
true 0.00012959996654452835 35305 15 15 0.04 4 1.9450195370713674e-7 0.9998666666666668 1396.9033093
true 1.343759602479011e-7 641 15 1 0.06 1 9.041365978495186e-7 0.9997333333333334 7.1525708
true 5.576121839573345e-5 1159 15 1 0.06 2 9.041365978495186e-7 0.9997333333333334 27.1494036
true 1.9726563865729574e-7 1526 15 1 0.06 3 9.041365978495186e-7 0.9997333333333334 61.934675
true 2.8012066816685e-6 5421 15 1 0.06 4 9.041365978495186e-7 0.9997333333333334 272.9778186
true 0.12500022341991396 516 15 8 0.06 1 9.041365978495186e-7 0.9997333333333334 6.6178551
true 0.06182884366038288 6744 15 8 0.06 2 9.041365978495186e-7 0.9997333333333334 140.2148635
true 0.06250709070677588 4594 15 8 0.06 3 9.041365978495186e-7 0.9997333333333334 142.1824779
true 3.434090947431606e-5 13478 15 8 0.06 4 9.041365978495186e-7 0.9997333333333334 577.7101394
true 0.06667341384572222 1399 15 15 0.06 1 9.041365978495186e-7 0.9997333333333334 17.0392241
true 7.494007856747216e-5 29914 15 15 0.06 2 9.041365978495186e-7 0.9997333333333334 622.6488909
true 4.625823394420007e-5 29351 15 15 0.06 3 9.041365978495186e-7 0.9997333333333334 853.6658112
true 9.41136921905894e-6 6781 15 15 0.06 4 9.041365978495186e-7 0.9997333333333334 298.7797456
true 2.3788307312866408e-7 371 15 1 0.08 1 2.67980895271131e-6 0.9987333333333335 4.9278789
true 0.00011198130361722569 3140 15 1 0.08 2 2.67980895271131e-6 0.9987333333333335 68.5406239
true 9.136257248520963e-7 1396 15 1 0.08 3 2.67980895271131e-6 0.9987333333333335 55.6995929
true 2.172529110500143e-6 3412 15 1 0.08 4 2.67980895271131e-6 0.9987333333333335 168.6122978
true 0.25002274815893566 622 15 8 0.08 1 2.67980895271131e-6 0.9987333333333335 8.1754064
true 0.06250221448456146 8068 15 8 0.08 2 2.67980895271131e-6 0.9987333333333335 161.1800802
true 0.12502200452325574 8855 15 8 0.08 3 2.67980895271131e-6 0.9987333333333335 263.7739742
true 0.06391881974698753 52819 15 8 0.08 4 2.67980895271131e-6 0.9987333333333335 2191.9709772
true 0.13349109814295454 1418 15 15 0.08 1 2.67980895271131e-6 0.9987333333333335 16.3519923
true 0.03318671167897524 9857 15 15 0.08 2 2.67980895271131e-6 0.9987333333333335 200.0261172
true 0.06681525358447979 10419 15 15 0.08 3 2.67980895271131e-6 0.9987333333333335 312.0588314
true 8.024913106432126e-5 23304 15 15 0.08 4 2.67980895271131e-6 0.9987333333333335 902.7801707
true 4.667255995016717e-7 397 15 1 0.1 1 6.212647512238128e-6 0.9984666666666667 5.1826703
true 1.1366257244294076e-6 1360 15 1 0.1 2 6.212647512238128e-6 0.9984666666666667 34.3804304
true 2.048755128547519e-6 2134 15 1 0.1 3 6.212647512238128e-6 0.9984666666666667 76.8825699
true 8.769125661700627e-5 4652 15 1 0.1 4 6.212647512238128e-6 0.9984666666666667 267.5779926
true 0.12500046369629822 1578 15 8 0.1 1 6.212647512238128e-6 0.9984666666666667 17.6113513
true 2.8582853821845777e-6 6731 15 8 0.1 2 6.212647512238128e-6 0.9984666666666667 145.2266915
true 0.0633472297350153 18639 15 8 0.1 3 6.212647512238128e-6 0.9984666666666667 586.7922196
true 2.45534270167172e-5 5183 15 8 0.1 4 6.212647512238128e-6 0.9984666666666667 248.5947493
true 0.06667008899375881 2969 15 15 0.1 1 6.212647512238128e-6 0.9984666666666667 34.4853185
true 1.1207357841880317e-5 11387 15 15 0.1 2 6.212647512238128e-6 0.9984666666666667 243.6423545
true 0.0001722574801906814 35826 15 15 0.1 3 6.212647512238128e-6 0.9984666666666667 1026.4163025
true 0.10002276256433647 46993 15 15 0.1 4 6.212647512238128e-6 0.9984666666666667 1866.3184525
true 1.0377352597235046e-6 318 15 1 0.12 1 1.2336936484222826e-5 0.9973333333333332 4.4957987
true 2.179132540580664e-6 917 15 1 0.12 2 1.2336936484222826e-5 0.9973333333333332 25.8237032
true 3.167757106181668e-6 1676 15 1 0.12 3 1.2336936484222826e-5 0.9973333333333332 65.6404348
true 7.067210766820153e-6 1978 15 1 0.12 4 1.2336936484222826e-5 0.9973333333333332 109.2824157
true 0.37500140609500976 1206 15 8 0.12 1 1.2336936484222826e-5 0.9973333333333332 13.1164976
true 1.526330822486377e-5 7963 15 8 0.12 2 1.2336936484222826e-5 0.9973333333333332 172.8250901
true 6.340733519322184e-6 14334 15 8 0.12 3 1.2336936484222826e-5 0.9973333333333332 425.4870641
true 2.5119784957991498e-5 36995 15 8 0.12 4 1.2336936484222826e-5 0.9973333333333332 1475.2821146
true 0.266667305636811 759 15 15 0.12 1 1.2336936484222826e-5 0.9973333333333332 9.8235982
true 0.06667417424264084 17473 15 15 0.12 2 1.2336936484222826e-5 0.9973333333333332 371.2312186
true 0.0003429757280376089 40768 15 15 0.12 3 1.2336936484222826e-5 0.9973333333333332 1257.7043969
true 0.06669648078973124 13252 15 15 0.12 4 1.2336936484222826e-5 0.9973333333333332 547.9624448
true 1.9658500725050487e-6 528 15 1 0.14 1 2.2024723413851827e-5 0.9967999999999999 6.327053
true 1.0327662486653288e-5 1492 15 1 0.14 2 2.2024723413851827e-5 0.9967999999999999 34.4422305
true 1.3436863024185453e-5 3288 15 1 0.14 3 2.2024723413851827e-5 0.9967999999999999 107.8146063
true 0.0001225209118134729 5864 15 1 0.14 4 2.2024723413851827e-5 0.9967999999999999 317.4417783
true 0.25000333431861077 706 15 8 0.14 1 2.2024723413851827e-5 0.9967999999999999 8.6556157
true 8.453634986110847e-6 10848 15 8 0.14 2 2.2024723413851827e-5 0.9967999999999999 234.862328
true 0.00010047332530300351 7720 15 8 0.14 3 2.2024723413851827e-5 0.9967999999999999 244.6709443
true 1.857315376020685e-5 8588 15 8 0.14 4 2.2024723413851827e-5 0.9967999999999999 405.9821986
true 0.06667222427052291 2308 15 15 0.14 1 2.2024723413851827e-5 0.9967999999999999 28.7192705
true 1.4206905245021476e-5 5432 15 15 0.14 2 2.2024723413851827e-5 0.9967999999999999 114.9022865
true 2.7997514371606394e-5 24807 15 15 0.14 3 2.2024723413851827e-5 0.9967999999999999 810.9714763
true 0.03339735593701943 16293 15 15 0.14 4 2.2024723413851827e-5 0.9967999999999999 683.4011041
true 3.3312846059452283e-6 545 15 1 0.16 1 3.638435431855326e-5 0.9956666666666666 8.0502734
true 1.4907269581809768e-5 921 15 1 0.16 2 3.638435431855326e-5 0.9956666666666666 25.63237
true 2.0692945877254232e-5 2792 15 1 0.16 3 3.638435431855326e-5 0.9956666666666666 110.6678709
true 0.000164791200567449 9823 15 1 0.16 4 3.638435431855326e-5 0.9956666666666666 435.7803576
true 0.25000259886491644 582 15 8 0.16 1 3.638435431855326e-5 0.9956666666666666 8.2817522
true 0.25001516786919226 2751 15 8 0.16 2 3.638435431855326e-5 0.9956666666666666 66.9282959
true 7.885808192255317e-5 6714 15 8 0.16 3 3.638435431855326e-5 0.9956666666666666 213.9798946
true 3.0389419297296993e-5 13445 15 8 0.16 4 3.638435431855326e-5 0.9956666666666666 559.1387929
true 0.26667340814149676 1032 15 15 0.16 1 3.638435431855326e-5 0.9956666666666666 13.7155604
true 0.06661316453200121 9647 15 15 0.16 2 3.638435431855326e-5 0.9956666666666666 209.5836966
true 0.06672065241430308 4784 15 15 0.16 3 3.638435431855326e-5 0.9956666666666666 164.497238
true 0.06671228596287522 17381 15 15 0.16 4 3.638435431855326e-5 0.9956666666666666 771.6494069
true 5.6025355693045675e-6 709 15 1 0.18 1 5.666215822095644e-5 0.9944000000000003 9.1993965
true 1.3186197456604987e-5 1016 15 1 0.18 2 5.666215822095644e-5 0.9944000000000003 26.5866628
true 3.609906286317077e-5 4308 15 1 0.18 3 5.666215822095644e-5 0.9944000000000003 164.6713814
true 3.655163043331244e-5 3202 15 1 0.18 4 5.666215822095644e-5 0.9944000000000003 187.8943958
true 0.2500030317559293 487 15 8 0.18 1 5.666215822095644e-5 0.9944000000000003 7.0747939
true 8.690283509867058e-6 5362 15 8 0.18 2 5.666215822095644e-5 0.9944000000000003 120.7994016
true 8.44795909835036e-5 42441 15 8 0.18 3 5.666215822095644e-5 0.9944000000000003 1327.2712117
true 0.00010345606806683172 5410 15 8 0.18 4 5.666215822095644e-5 0.9944000000000003 253.6709622
true 0.06668066553337583 2260 15 15 0.18 1 5.666215822095644e-5 0.9944000000000003 29.9830784
true 3.409013116272286e-5 13014 15 15 0.18 2 5.666215822095644e-5 0.9944000000000003 274.6473646
true 0.13340712607470315 8240 15 15 0.18 3 5.666215822095644e-5 0.9944000000000003 267.5850036
true 0.033268508462889305 20042 15 15 0.18 4 5.666215822095644e-5 0.9944000000000003 884.9962575
true 9.005363801217747e-6 499 15 1 0.2 1 8.424689439829476e-5 0.9928666666666665 7.2198102
true 3.2172752455317255e-5 1786 15 1 0.2 2 8.424689439829476e-5 0.9928666666666665 46.280514
true 3.5888405309270066e-5 2480 15 1 0.2 3 8.424689439829476e-5 0.9928666666666665 91.6230758
true 3.788040690116956e-5 5871 15 1 0.2 4 8.424689439829476e-5 0.9928666666666665 264.180479
true 0.12500698202020372 694 15 8 0.2 1 8.424689439829476e-5 0.9928666666666665 9.6387221
true 2.0275410396015936e-5 3332 15 8 0.2 2 8.424689439829476e-5 0.9928666666666665 81.1041435
true 0.06255469943753919 6730 15 8 0.2 3 8.424689439829476e-5 0.9928666666666665 216.3522514
