g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 0.03400098016347136 96 6 1 1.51 1 0.14860607298695988 0.0 0.4745162
true 0.033176806207591836 424 6 1 1.51 2 0.14860607298695988 0.0 3.6239558
true 0.00037237636795522944 1561 6 1 1.51 3 0.14860607298695988 0.0 16.0647223
true 0.0006472069702845307 4773 6 1 1.51 4 0.14860607298695988 0.0 59.579645
true 0.03364327758092614 122 6 2 1.51 1 0.14860607298695988 0.0 0.610749
true 0.031432348914383734 732 6 2 1.51 2 0.14860607298695988 0.0 5.7370383
true 6.252361201547485e-5 4435 6 2 1.51 3 0.14860607298695988 0.0 44.3336216
true 0.016087578960640253 2761 6 2 1.51 4 0.14860607298695988 0.0 35.241427
true 0.03352425293119817 138 6 3 1.51 1 0.14860607298695988 0.0 0.657089
true 0.0009807728322166476 940 6 3 1.51 2 0.14860607298695988 0.0 6.773885
true 0.00014384676114827707 3066 6 3 1.51 3 0.14860607298695988 0.0 30.3616951
true 0.001189863941150134 3782 6 3 1.51 4 0.14860607298695988 0.0 48.2278468
true 0.2657879698325549 146 6 4 1.51 1 0.14860607298695988 0.0 0.7088861
true 0.000797952289211673 1228 6 4 1.51 2 0.14860607298695988 0.0 8.8726215
true 0.0007889755760406708 3596 6 4 1.51 3 0.14860607298695988 0.0 35.2292912
true 0.0002532103973143379 5649 6 4 1.51 4 0.14860607298695988 0.0 68.7214704
true 0.03177489153580543 131 6 5 1.51 1 0.14860607298695988 0.0 0.6807767
true 0.20048401089387716 1723 6 5 1.51 2 0.14860607298695988 0.0 12.8550993
true 0.02512741999950141 2043 6 5 1.51 3 0.14860607298695988 0.0 20.4555642
true 0.00041991944112578227 4544 6 5 1.51 4 0.14860607298695988 0.0 59.3498411
true 0.18342926863055278 344 6 6 1.51 1 0.14860607298695988 0.0 1.7405259
true 0.0007029145924524564 1605 6 6 1.51 2 0.14860607298695988 0.0 11.797694
true 0.0007100344579158702 4974 6 6 1.51 3 0.14860607298695988 0.0 49.0629363
true 0.0006789153361606756 5517 6 6 1.51 4 0.14860607298695988 0.0 68.4190124
true 0.03345572950329151 109 6 1 1.52 1 0.14676781227962965 0.0 0.55665
true 0.0010234147838679153 546 6 1 1.52 2 0.14676781227962965 0.0 4.042333
true 7.297529465305486e-5 2284 6 1 1.52 3 0.14676781227962965 0.0 23.4646893
true 5.4184438188054074e-5 4032 6 1 1.52 4 0.14676781227962965 0.0 49.6433758
true 0.03311063028935213 113 6 2 1.52 1 0.14676781227962965 0.0 0.5811666
true 0.0009384004850399308 748 6 2 1.52 2 0.14676781227962965 0.0 5.8975571
true 0.00015962109912606715 2190 6 2 1.52 3 0.14676781227962965 0.0 21.4783973
true 0.00047541736425554815 2049 6 2 1.52 4 0.14676781227962965 0.0 27.1227989
true 0.03299590702103703 122 6 3 1.52 1 0.14676781227962965 0.0 0.6252798
true 0.000952392489051194 573 6 3 1.52 2 0.14676781227962965 0.0 4.4495562
true 0.0001299566068772203 3041 6 3 1.52 3 0.14676781227962965 0.0 30.0083607
true 0.00015060788792442548 4831 6 3 1.52 4 0.14676781227962965 0.0 61.1954937
true 0.031932536680223916 168 6 4 1.52 1 0.14676781227962965 0.0 0.8495037
true 0.0007727240788512196 1483 6 4 1.52 2 0.14676781227962965 0.0 10.9096445
true 0.0002509561452197634 2654 6 4 1.52 3 0.14676781227962965 0.0 27.1678671
true 0.0008163340043397666 4296 6 4 1.52 4 0.14676781227962965 0.0 53.9107809
true 0.03129426157374349 155 6 5 1.52 1 0.14676781227962965 0.0 0.7969165
true 0.0007749536052671369 884 6 5 1.52 2 0.14676781227962965 0.0 6.6322085
true 0.00022111160853157674 4598 6 5 1.52 3 0.14676781227962965 0.0 46.1306241
true 0.0009193105911325494 7711 6 5 1.52 4 0.14676781227962965 0.0 98.1876703
true 0.18182342997734238 434 6 6 1.52 1 0.14676781227962965 0.0 2.0963267
true 0.0006756509680291752 2131 6 6 1.52 2 0.14676781227962965 0.0 15.6284485
true 0.0007659584955593546 2728 6 6 1.52 3 0.14676781227962965 0.0 27.2841513
true 0.000642941669027212 7551 6 6 1.52 4 0.14676781227962965 0.0 94.5797631
true 0.0329233242348862 147 6 1 1.53 1 0.14496629210198328 0.0 0.6435353
true 0.0009957630674386486 281 6 1 1.53 2 0.14496629210198328 0.0 2.5839285
true 2.105795652290743e-5 1206 6 1 1.53 3 0.14496629210198328 0.0 13.2158279
true 0.00019290325933862817 7543 6 1 1.53 4 0.14496629210198328 0.0 93.4545556
true 0.03259121780797891 122 6 2 1.53 1 0.14496629210198328 0.0 0.612273
true 0.030247810865590835 678 6 2 1.53 2 0.14496629210198328 0.0 5.3955048
true 0.0011923157266741369 4771 6 2 1.53 3 0.14496629210198328 0.0 46.7760024
true 0.0007849848703736506 7149 6 2 1.53 4 0.14496629210198328 0.0 92.0736328
true 0.03248022197983125 261 6 3 1.53 1 0.14496629210198328 0.0 1.3063329
true 0.0009259264154835208 956 6 3 1.53 2 0.14496629210198328 0.0 7.2941894
true 0.0006042752542371188 3271 6 3 1.53 3 0.14496629210198328 0.0 34.1410125
true 0.0009069568598800704 3679 6 3 1.53 4 0.14496629210198328 0.0 46.6900509
true 0.03144641864940996 124 6 4 1.53 1 0.14496629210198328 0.0 0.6511399
true 0.000749707515488876 1258 6 4 1.53 2 0.14496629210198328 0.0 9.0868598
true 0.0010956411319371223 3554 6 4 1.53 3 0.14496629210198328 0.0 35.8113573
true 0.0011793003210320563 5439 6 4 1.53 4 0.14496629210198328 0.0 71.2640357
true 0.21765599226784632 115 6 5 1.53 1 0.14496629210198328 0.0 0.6041527
true 0.0007470437463916845 406 6 5 1.53 2 0.14496629210198328 0.0 3.5347079
true 0.0001590968226330536 1515 6 5 1.53 3 0.14496629210198328 0.0 15.5177635
true 0.0006526295288567074 4445 6 5 1.53 4 0.14496629210198328 0.0 55.9917861
true 0.025688571718628362 203 6 6 1.53 1 0.14496629210198328 0.0 1.00648
true 0.0006545879095970208 1054 6 6 1.53 2 0.14496629210198328 0.0 8.4586042
true 0.00015957479350262963 6378 6 6 1.53 3 0.14496629210198328 0.0 63.3498664
true 0.0005976422384113741 5600 6 6 1.53 4 0.14496629210198328 0.0 72.9134594
true 0.0324042810582888 112 6 1 1.54 1 0.14320052060549301 0.0 0.5518889
true 0.0009653652079062436 491 6 1 1.54 2 0.14320052060549301 0.0 3.8124939
true 0.0002520082539215207 3783 6 1 1.54 3 0.14320052060549301 0.0 37.2216967
true 0.0006678237318711311 3123 6 1 1.54 4 0.14320052060549301 0.0 39.859161
true 0.0320837575242659 124 6 2 1.54 1 0.14320052060549301 0.0 0.6235929
true 0.0008860224885146595 757 6 2 1.54 2 0.14320052060549301 0.0 5.7326524
true 0.00023092135858623908 1749 6 2 1.54 3 0.14320052060549301 0.0 17.3842161
true 0.0009408963438284901 5748 6 2 1.54 4 0.14320052060549301 0.0 71.7015014
true 0.03197714336900539 104 6 3 1.54 1 0.14320052060549301 0.0 0.5546019
true 0.0008991163125259827 683 6 3 1.54 2 0.14320052060549301 0.0 5.0467698
true 0.009645501841957707 2793 6 3 1.54 3 0.14320052060549301 0.0 27.949986
true 0.0006850927966731887 7980 6 3 1.54 4 0.14320052060549301 0.0 97.7275623
true 0.030970708517225762 174 6 4 1.54 1 0.14320052060549301 0.0 0.8298554
