g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.3284876232709806e-7 48 4 1 0.06 1 3.2712639605332464e-5 0.0823885
true 2.3741991513337446e-6 169 4 1 0.06 2 3.2712639605332464e-5 0.5606062
true 3.3756840427945356e-6 404 4 1 0.06 3 3.2712639605332464e-5 1.6150735
true 3.836760517517135e-6 609 4 1 0.06 4 3.2712639605332464e-5 3.2701084
true 2.1899739000019736e-7 54 4 1 0.061 1 3.7745858669995024e-5 0.1046868
true 2.9819650698703626e-7 145 4 1 0.061 2 3.7745858669995024e-5 0.5561434
true 2.6744038342796372e-6 205 4 1 0.061 3 3.7745858669995024e-5 0.9566614
true 1.9615274132744887e-6 488 4 1 0.061 4 3.7745858669995024e-5 2.5947234
true 1.3741658766441844e-7 60 4 1 0.062 1 4.341007974826236e-5 0.1406501
true 3.29365676843274e-6 140 4 1 0.062 2 4.341007974826236e-5 0.5267322
true 1.190495145519943e-6 274 4 1 0.062 3 4.341007974826236e-5 1.2648696
true 1.2646743287048068e-6 576 4 1 0.062 4 4.341007974826236e-5 3.1438218
true 1.249978456852041e-7 56 4 1 0.063 1 4.97619071631224e-5 0.1143022
true 7.532781757246809e-7 127 4 1 0.063 2 4.97619071631224e-5 0.4002874
true 3.912960774843377e-7 256 4 1 0.063 3 4.97619071631224e-5 1.2356745
true 1.3774540497668575e-6 581 4 1 0.063 4 4.97619071631224e-5 3.0074564
true 2.390908523941526e-7 55 4 1 0.064 1 5.685966778538979e-5 0.1126607
true 1.7518712911446244e-6 139 4 1 0.064 2 5.685966778538979e-5 0.5044291
true 9.887222818805164e-7 360 4 1 0.064 3 5.685966778538979e-5 1.5850565
true 2.624616370516808e-6 340 4 1 0.064 4 5.685966778538979e-5 2.4987638
true 4.069907713621923e-7 56 4 1 0.065 1 6.476267931970257e-5 0.116866
true 5.730138984860744e-6 141 4 1 0.065 2 6.476267931970257e-5 0.5340862
true 2.2506697068269688e-6 241 4 1 0.065 3 6.476267931970257e-5 1.2813903
true 7.65102359689962e-7 640 4 1 0.065 4 6.476267931970257e-5 3.3275445
true 3.638865676558467e-7 58 4 1 0.066 1 7.353031475438847e-5 0.2183141
true 3.6031706259764817e-6 163 4 1 0.066 2 7.353031475438847e-5 0.5522551
true 1.1654028925223159e-6 239 4 1 0.066 3 7.353031475438847e-5 1.2141455
true 6.89313265467284e-7 328 4 1 0.066 4 7.353031475438847e-5 2.2741544
true 6.54830412005758e-7 43 4 1 0.067 1 8.322093729413909e-5 0.1513345
true 5.584564741645259e-6 154 4 1 0.067 2 8.322093729413909e-5 0.531464
true 1.4851891523837146e-6 221 4 1 0.067 3 8.322093729413909e-5 1.221194
true 6.439707370631265e-6 292 4 1 0.067 4 8.322093729413909e-5 1.9977781
true 3.2911771769006393e-7 63 4 1 0.068 1 9.389084641884224e-5 0.173428
true 7.321372486546185e-6 128 4 1 0.068 2 9.389084641884224e-5 0.5155844
true 3.6728090486715104e-6 244 4 1 0.068 3 9.389084641884224e-5 1.3306068
true 2.6692829132590745e-6 432 4 1 0.068 4 9.389084641884224e-5 2.9320316
true 2.903553286692784e-7 51 4 1 0.069 1 0.00010559342538070729 0.1178509
true 9.653481035543088e-6 145 4 1 0.069 2 0.00010559342538070729 0.5506335
true 2.2747271148926274e-6 324 4 1 0.069 3 0.00010559342538070729 1.4974839
true 5.399222921420588e-6 350 4 1 0.069 4 0.00010559342538070729 2.2894044
true 2.0174986897769642e-7 56 4 1 0.07 1 0.0001183786849266515 0.0903786
true 6.96121433857444e-6 141 4 1 0.07 2 0.0001183786849266515 0.4565415
true 1.346609752428396e-6 336 4 1 0.07 3 0.0001183786849266515 1.5060445
true 1.206389482799608e-5 506 4 1 0.07 4 0.0001183786849266515 2.8528792
true 4.4273111704518087e-7 56 4 1 0.071 1 0.00013229333690025464 0.1275041
true 2.417174184643489e-6 156 4 1 0.071 2 0.00013229333690025464 0.6589237
true 1.3770962606352022e-6 217 4 1 0.071 3 0.00013229333690025464 1.117314
true 1.152000661291952e-5 351 4 1 0.071 4 0.00013229333690025464 2.3230744
true 6.039209171637694e-7 50 4 1 0.072 1 0.0001473814079919081 0.1344498
true 1.3219305512290891e-5 127 4 1 0.072 2 0.0001473814079919081 0.4434644
true 1.0403164055428071e-5 246 4 1 0.072 3 0.0001473814079919081 1.2531018
true 8.22205999390091e-6 357 4 1 0.072 4 0.0001473814079919081 2.1162262
true 3.3661974596643773e-7 52 4 1 0.073 1 0.00016368526042869692 0.0979338
true 6.301849358902878e-6 144 4 1 0.073 2 0.00016368526042869692 0.4890745
true 6.98592731940284e-6 365 4 1 0.073 3 0.00016368526042869692 1.5210659
true 9.086506524980109e-7 351 4 1 0.073 4 0.00016368526042869692 2.2966169
true 4.655445531853708e-7 90 4 1 0.074 1 0.00018124678692999058 0.1733715
true 1.5433296777889183e-5 126 4 1 0.074 2 0.00018124678692999058 0.4462277
true 1.1632636241487582e-6 222 4 1 0.074 3 0.00018124678692999058 1.2147363
true 1.741968752821954e-5 330 4 1 0.074 4 0.00018124678692999058 2.1542849
true 3.3154695205928064e-7 71 4 1 0.075 1 0.00020010854439861874 0.134693
true 4.6755592164604565e-6 136 4 1 0.075 2 0.00020010854439861874 0.4765497
true 1.3476470438811283e-5 254 4 1 0.075 3 0.00020010854439861874 1.2253978
true 2.1744145360380607e-6 364 4 1 0.075 4 0.00020010854439861874 2.1655048
true 3.639850984504811e-7 61 4 1 0.076 1 0.00022031468377297893 0.1160746
true 1.834028951541722e-5 125 4 1 0.076 2 0.00022031468377297893 0.434135
true 1.7252871447381857e-5 220 4 1 0.076 3 0.00022031468377297893 1.051487
true 4.886447367957736e-6 448 4 1 0.076 4 0.00022031468377297893 3.0585557
true 5.264283653438895e-7 51 4 1 0.077 1 0.00024191166176350666 0.1049007
true 1.960059240774248e-5 228 4 1 0.077 2 0.00024191166176350666 0.6593685
true 1.5518963971117294e-6 269 4 1 0.077 3 0.00024191166176350666 1.2442493
true 1.4292042540553496e-6 470 4 1 0.077 4 0.00024191166176350666 2.6163013
true 4.1571311071297856e-7 47 4 1 0.078 1 0.00026494879923379865 0.0847187
true 2.2241189119531768e-5 123 4 1 0.078 2 0.00026494879923379865 0.4439011
true 1.0996325100154358e-5 258 4 1 0.078 3 0.00026494879923379865 1.148606
true 3.698275506991422e-5 307 4 1 0.078 4 0.00026494879923379865 1.9458458
true 4.6366926681473686e-7 64 4 1 0.079 1 0.0002894787328839312 0.1175046
true 2.405096841878729e-5 152 4 1 0.079 2 0.0002894787328839312 0.5024026
true 2.1320220148779434e-6 247 4 1 0.079 3 0.0002894787328839312 1.1528272
true 1.281608794978517e-6 386 4 1 0.079 4 0.0002894787328839312 2.4860662
true 6.94208497464821e-7 50 4 1 0.08 1 0.00031555771092967207 0.1469651
