g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 3.632118505958459e-8 288 4 1 0.0 3 0.0 1.89
true 1.486746625423141e-6 317 4 1 0.0 4 0.0 2.78
true 6.824348283973602e-7 454 4 2 0.0 3 0.0 2.53
true 3.028297549112491e-7 491 4 2 0.0 4 0.0 4.09
true 2.2649529431058766e-6 376 4 3 0.0 3 0.0 2.33
true 1.0132236577050277e-5 1052 4 3 0.0 4 0.0 7.52
true 8.80138115692819e-6 318 4 4 0.0 3 0.0 2.06
true 1.4265374926464292e-6 558 4 4 0.0 4 0.0 4.73
true 3.988387539122229e-7 242 4 1 0.04 3 5.221054521751489e-7 1.64
true 1.8927313416461367e-5 519 4 1 0.04 4 5.221054521751489e-7 4.01
true 3.2086374908979476e-6 280 4 2 0.04 3 5.221054521751489e-7 1.84
true 7.864616949349035e-8 390 4 2 0.04 4 5.221054521751489e-7 3.4
true 1.1083435128937207e-7 597 4 3 0.04 3 5.221054521751489e-7 3.37
true 8.652435224780023e-7 532 4 3 0.04 4 5.221054521751489e-7 4.29
true 2.171835307152037e-7 295 4 4 0.04 3 5.221054521751489e-7 1.95
true 4.5340108316416217e-7 426 4 4 0.04 4 5.221054521751489e-7 3.68
true 8.295398125524045e-6 229 4 1 0.08 3 0.00031555771092967207 1.57
true 6.368621772612215e-6 803 4 1 0.08 4 0.00031555771092967207 5.99
true 4.080504492132153e-6 257 4 2 0.08 3 0.00031555771092967207 1.76
true 1.5407321600213741e-6 467 4 2 0.08 4 0.00031555771092967207 4.1
true 9.81619077091341e-6 274 4 3 0.08 3 0.00031555771092967207 2.19
true 8.932369965223655e-6 1130 4 3 0.08 4 0.00031555771092967207 7.92
true 9.161430711848717e-6 325 4 4 0.08 3 0.00031555771092967207 2.29
true 2.5332651462581235e-5 1052 4 4 0.08 4 0.00031555771092967207 7.64
true 2.9142028029172096e-5 243 4 1 0.12 3 0.002857451366537061 1.74
true 4.622381093000172e-6 593 4 1 0.12 4 0.002857451366537061 4.63
true 1.4870343800210684e-5 335 4 2 0.12 3 0.002857451366537061 2.19
true 0.00017428818936945922 508 4 2 0.12 4 0.002857451366537061 4.0
true 4.968307919014e-5 272 4 3 0.12 3 0.002857451366537061 1.86
true 0.00019074722904825295 469 4 3 0.12 4 0.002857451366537061 3.98
true 0.00015965179667083718 416 4 4 0.12 3 0.002857451366537061 2.58
true 0.00013483610847329908 431 4 4 0.12 4 0.002857451366537061 3.76
true 5.796497141030699e-5 197 4 1 0.16 3 0.009312166724123666 1.39
true 7.959858829897914e-6 624 4 1 0.16 4 0.009312166724123666 5.04
true 3.335815151914168e-5 594 4 2 0.16 3 0.009312166724123666 3.45
true 0.0005674582035331277 461 4 2 0.16 4 0.009312166724123666 3.94
true 0.0006977100181018159 370 4 3 0.16 3 0.009312166724123666 2.28
true 0.0007122823355920996 383 4 3 0.16 4 0.009312166724123666 3.44
true 2.4897747678748194e-5 1174 4 4 0.16 3 0.009312166724123666 6.29
true 0.0002584594630512388 2179 4 4 0.16 4 0.009312166724123666 14.83
true 5.3027879601319494e-5 1104 4 1 0.2 3 0.028809882776728333 6.08
true 2.0172309912469544e-6 847 4 1 0.2 4 0.028809882776728333 6.05
true 9.915001848945226e-5 979 4 2 0.2 3 0.028809882776728333 5.45
true 1.1896359637414422e-5 1110 4 2 0.2 4 0.028809882776728333 8.11
true 3.099372538944989e-5 967 4 3 0.2 3 0.028809882776728333 5.42
true 0.0015187090005289912 1036 4 3 0.2 4 0.028809882776728333 7.21
true 0.0023311554243383714 742 4 4 0.2 3 0.028809882776728333 4.19
true 6.811084987026761e-5 2109 4 4 0.2 4 0.028809882776728333 14.1
true 0.0007338209868196222 264 4 1 0.24 3 0.08188079160576314 1.71
true 5.405240511124898e-6 1030 4 1 0.24 4 0.08188079160576314 7.31
true 0.0068303272563440265 941 4 2 0.24 3 0.08188079160576314 5.28
true 2.3017963087568205e-5 1739 4 2 0.24 4 0.08188079160576314 11.47
true 0.0052251678026324355 747 4 3 0.24 3 0.08188079160576314 4.13
true 0.00012797888153011824 1055 4 3 0.24 4 0.08188079160576314 7.63
true 0.004193151876803844 678 4 4 0.24 3 0.08188079160576314 3.91
true 0.00010789446609116293 3381 4 4 0.24 4 0.08188079160576314 22.67
true 7.501362991152449e-5 551 4 1 0.28 3 0.1955000413843353 3.21
true 3.821941004233942e-7 720 4 1 0.28 4 0.1955000413843353 5.49
true 0.00010470840051762798 935 4 2 0.28 3 0.1955000413843353 5.14
true 1.1609056423000919e-5 1241 4 2 0.28 4 0.1955000413843353 8.38
true 7.956055836964386e-5 652 4 3 0.28 3 0.1955000413843353 3.79
true 0.00014268872922129638 723 4 3 0.28 4 0.1955000413843353 5.4
true 0.00011637978279589734 2281 4 4 0.28 3 0.1955000413843353 12.34
