g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.517229431564516e-7 256 4 1 0.04 3 5.221054521751489e-7 1.37
true 1.447600257054038e-6 391 4 1 0.04 4 5.221054521751489e-7 2.49
true 1.2857503484120514e-7 242 4 1 0.045 3 1.0919706383313371e-6 1.21
true 1.2885755934499699e-7 319 4 1 0.045 4 1.0919706383313371e-6 2.33
true 4.158821360622511e-7 234 4 1 0.05 3 2.252253432013266e-6 1.33
true 7.150358387053579e-7 572 4 1 0.05 4 2.252253432013266e-6 3.28
true 7.276449774384908e-7 297 4 1 0.055 3 4.37567672647471e-6 1.51
true 3.420050571634192e-7 357 4 1 0.055 4 4.37567672647471e-6 2.53
true 2.8640427280679503e-5 249 4 1 0.06 3 3.2712639605332464e-5 1.45
true 6.666491639162331e-6 327 4 1 0.06 4 3.2712639605332464e-5 2.18
true 5.3171753013336875e-6 235 4 1 0.065 3 6.476267931970257e-5 1.2
true 2.1239033121678297e-6 416 4 1 0.065 4 6.476267931970257e-5 2.72
true 5.520996496088948e-7 240 4 1 0.07 3 0.0001183786849266515 1.3
true 6.858750543570213e-6 448 4 1 0.07 4 0.0001183786849266515 2.67
true 1.2968321600970167e-5 254 4 1 0.075 3 0.00020010854439861874 1.34
true 3.0644112516964306e-6 374 4 1 0.075 4 0.00020010854439861874 2.85
true 3.2995619097531126e-6 221 4 1 0.08 3 0.00031555771092967207 1.25
true 2.445167554765426e-6 333 4 1 0.08 4 0.00031555771092967207 2.58
true 2.8661226614268287e-6 267 4 1 0.085 3 0.0004713743124606638 1.29
true 3.7399933286941245e-5 424 4 1 0.085 4 0.0004713743124606638 2.82
true 3.454611586312106e-5 299 4 1 0.09 3 0.0006755458943422365 1.41
true 7.1978676063344516e-6 331 4 1 0.09 4 0.0006755458943422365 2.26
true 6.535970004861724e-5 229 4 1 0.095 3 0.0009357663748697882 1.16
true 1.4809507733803962e-5 377 4 1 0.095 4 0.0009357663748697882 3.01
true 1.9783925899241606e-5 292 4 1 0.1 3 0.0012584685665444728 1.45
true 1.3413067735834616e-5 540 4 1 0.1 4 0.0012584685665444728 3.22
true 1.7365676880154446e-5 269 4 1 0.105 3 0.0016448436137909768 1.42
true 4.440102447100802e-6 448 4 1 0.105 4 0.0016448436137909768 2.81
true 0.00018915418977538678 244 4 1 0.11 3 0.002051125570344679 1.33
true 0.00011034994336528436 344 4 1 0.11 4 0.002051125570344679 2.2
true 4.597026064101506e-5 249 4 1 0.115 3 0.002440730722987342 1.38
true 2.09172558006121e-5 389 4 1 0.115 4 0.002440730722987342 2.87
true 0.000129026604297533 252 4 1 0.12 3 0.002857451366537061 1.37
true 5.330337260756046e-5 549 4 1 0.12 4 0.002857451366537061 3.59
true 9.75357071208438e-5 230 4 1 0.125 3 0.00332982548065795 1.39
true 0.00018696324276101794 392 4 1 0.125 4 0.00332982548065795 2.67
true 0.00044939862212473036 255 4 1 0.13 3 0.0038710037250973186 1.34
true 8.02862585230768e-6 337 4 1 0.13 4 0.0038710037250973186 2.51
true 0.0004601428368334326 231 4 1 0.135 3 0.004492727768579933 1.28
true 1.0473428563140263e-5 1481 4 1 0.135 4 0.004492727768579933 7.52
true 0.00010477337946090959 268 4 1 0.14 3 0.005207607228596099 1.39
true 2.7961955518074344e-5 399 4 1 0.14 4 0.005207607228596099 2.72
true 0.0002850031723697355 223 4 1 0.145 3 0.006029716301483369 1.23
true 1.4122013525963428e-5 777 4 1 0.145 4 0.006029716301483369 4.5
true 3.189730342140207e-5 222 4 1 0.15 3 0.006975091406260766 1.29
true 9.236210323115834e-6 564 4 1 0.15 4 0.006975091406260766 3.18
true 9.771077243447834e-5 279 4 1 0.155 3 0.008062173755126356 1.34
true 8.611106605160845e-6 390 4 1 0.155 4 0.008062173755126356 2.74
true 5.7574633092472016e-5 722 4 1 0.16 3 0.009312166724123666 3.06
true 3.5795672391758515e-6 432 4 1 0.16 4 0.009312166724123666 2.84
true 5.0652908761550375e-5 318 4 1 0.165 3 0.010749313316355258 1.59
true 9.528016994941879e-6 823 4 1 0.165 4 0.010749313316355258 4.49
true 3.971566318605735e-5 270 4 1 0.17 3 0.012401116232128213 1.39
true 3.451830391298927e-5 340 4 1 0.17 4 0.012401116232128213 2.61
true 2.1284091814122164e-5 449 4 1 0.175 3 0.014298515829243665 2.04
true 0.0002432507048865662 415 4 1 0.175 4 0.014298515829243665 2.59
true 0.00039236048256346967 272 4 1 0.18 3 0.01647603291411175 1.46
true 2.0845677197844914e-5 407 4 1 0.18 4 0.01647603291411175 2.83
true 7.658780464669945e-5 492 4 1 0.185 3 0.01897188904590839 2.12
true 4.8388472269567107e-5 900 4 1 0.185 4 0.01897188904590839 5.14
true 1.9191895600068065e-5 506 4 1 0.19 3 0.021828128818143427 2.41
true 7.769586332800893e-5 625 4 1 0.19 4 0.021828128818143427 3.9
true 4.237361114839411e-5 797 4 1 0.195 3 0.025090761152298944 3.35
true 4.991562150169493e-6 627 4 1 0.195 4 0.025090761152298944 3.55
true 5.695331652455504e-5 1080 4 1 0.2 3 0.028809882776728333 4.43
true 3.375534727373397e-5 833 4 1 0.2 4 0.028809882776728333 4.49
true 7.218500137889938e-5 517 4 1 0.205 3 0.03303964398806985 2.65
true 9.412277982567829e-7 1092 4 1 0.205 4 0.03303964398806985 5.76
true 0.0002919623660549431 568 4 1 0.21 3 0.037837809482577124 2.48
true 1.936390761947404e-5 1071 4 1 0.21 4 0.037837809482577124 5.53
true 6.441771032122956e-5 615 4 1 0.215 3 0.04326464103270638 2.77
true 0.00039135837466069967 952 4 1 0.215 4 0.04326464103270638 5.12
true 7.101662921282781e-6 1069 4 1 0.22 3 0.04938099268332533 4.37
true 5.962554144867127e-7 505 4 1 0.22 4 0.04938099268332533 2.9
true 0.00020452353138833423 728 4 1 0.225 3 0.056245996945787594 3.02
true 1.7024689113465108e-6 1030 4 1 0.225 4 0.056245996945787594 5.41
true 0.000250100823381727 566 4 1 0.23 3 0.0639155091216561 2.64
true 1.1641392354544422e-6 773 4 1 0.23 4 0.0639155091216561 4.6
true 0.00016358230986868172 591 4 1 0.235 3 0.07244273956936036 2.52
true 2.191321499867005e-6 933 4 1 0.235 4 0.07244273956936036 5.51
true 0.00039421201717637633 847 4 1 0.24 3 0.08188079160576314 3.33
true 6.651479117825154e-6 663 4 1 0.24 4 0.08188079160576314 3.79
true 0.00044861207285173954 379 4 1 0.245 3 0.09228418542907334 1.84
true 8.865427658932834e-6 1345 4 1 0.245 4 0.09228418542907334 7.28
true 0.0005515483277260813 455 4 1 0.25 3 0.10370693433146623 1.93
true 5.46368617904136e-7 1427 4 1 0.25 4 0.10370693433146623 7.51
true 0.0005043671934529259 499 4 1 0.255 3 0.11619805724430629 2.18
true 1.9217407520866203e-7 515 4 1 0.255 4 0.11619805724430629 3.05
true 3.428557966389523e-5 1052 4 1 0.26 3 0.1297967786166197 4.1
true 7.069778356627587e-7 1215 4 1 0.26 4 0.1297967786166197 6.52
true 0.00022885672309269633 666 4 1 0.265 3 0.14452847657781975 2.86
true 6.266246849184753e-8 808 4 1 0.265 4 0.14452847657781975 4.55
true 1.0366543090167823e-5 1070 4 1 0.27 3 0.16040132296490764 4.33
true 3.344149403317065e-5 928 4 1 0.27 4 0.16040132296490764 4.82
true 0.001189999954996801 412 4 1 0.275 3 0.1774033710874055 1.92
true 5.80859980559012e-7 710 4 1 0.275 4 0.1774033710874055 4.01
true 0.0013837195878397268 555 4 1 0.28 3 0.1955000413843353 2.35
true 7.070584207014008e-8 376 4 1 0.28 4 0.1955000413843353 2.68
true 4.630039396213981e-6 808 4 1 0.285 3 0.2146321291169702 3.16
true 9.749300100558855e-8 588 4 1 0.285 4 0.2146321291169702 3.63
true 0.0002121082438430455 599 4 1 0.29 3 0.23471453828017486 2.4
true 3.836926898426185e-8 512 4 1 0.29 4 0.23471453828017486 3.24
true 8.226565481772585e-6 409 4 1 0.295 3 0.25563595792425975 1.98
true 2.307282734148597e-6 489 4 1 0.295 4 0.25563595792425975 3.0
true 8.064048155392856e-5 483 4 1 0.3 3 0.27725966462546564 2.0
true 2.9128748535445226e-7 445 4 1 0.3 4 0.27725966462546564 2.79
true 0.00020896308867063285 1454 4 1 0.305 3 0.2994255701947617 5.57
true 2.2617818290493474e-7 483 4 1 0.305 4 0.2994255701947617 2.95
true 1.046364043300052e-5 613 4 1 0.31 3 0.3219535459176348 2.41
true 3.3706713875591987e-7 436 4 1 0.31 4 0.3219535459176348 2.6
true 0.00011038580300015699 414 4 1 0.315 3 0.34464795263766296 1.95
true 5.043702273610506e-7 389 4 1 0.315 4 0.34464795263766296 2.52
true 9.167762839434879e-7 1088 4 1 0.32 3 0.3673031991535092 4.68
true 6.471504471194933e-8 451 4 1 0.32 4 0.3673031991535092 2.81
