g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 3.620988778818557e-7 227 4 1 0.042 3 7.063611302735575e-7 6.5403474
true 7.079422267686208e-6 381 4 1 0.042 4 7.063611302735575e-7 2.7027743
true 4.558825242861886e-7 257 4 1 0.044 3 9.64562712650107e-7 1.4490239
true 1.6571316019398097e-7 335 4 1 0.044 4 9.64562712650107e-7 2.8562755
true 9.625546731895085e-8 227 4 1 0.046 3 1.267634179040773e-6 1.2664653
true 3.154557351781051e-6 497 4 1 0.046 4 1.267634179040773e-6 3.131502
true 2.0146787534924826e-6 358 4 1 0.048 3 1.6973356146372702e-6 1.7956233
true 2.684615659220846e-7 365 4 1 0.048 4 1.6973356146372702e-6 2.6692277
true 1.1032067570582171e-7 214 4 1 0.05 3 2.252253432013266e-6 1.1607207
true 4.087203759883806e-7 331 4 1 0.05 4 2.252253432013266e-6 2.4423052
true 8.458055111848495e-8 215 4 1 0.052 3 2.959990920774396e-6 1.2619159
true 2.192219579755239e-7 490 4 1 0.052 4 2.959990920774396e-6 3.6885873
true 7.195082999955638e-7 267 4 1 0.054 3 3.8510685383572136e-6 1.4911271
true 1.5882363546548817e-7 333 4 1 0.054 4 3.8510685383572136e-6 2.6631575
true 7.770475224933016e-7 257 4 1 0.056 3 4.958877832650446e-6 1.5689101
true 6.253967190228416e-7 333 4 1 0.056 4 4.958877832650446e-6 2.5291796
true 2.7827820192616315e-7 317 4 1 0.058 3 6.320021407771615e-6 1.694778
true 6.288057394776558e-7 330 4 1 0.058 4 6.320021407771615e-6 2.8392652
true 5.708764255762944e-7 255 4 1 0.06 3 3.2712639605332464e-5 1.7097923
true 6.86179519870933e-8 349 4 1 0.06 4 3.2712639605332464e-5 3.9117703
true 7.262072267422148e-7 254 4 1 0.062 3 4.341007974826236e-5 1.9480387
true 8.434516391986335e-7 529 4 1 0.062 4 4.341007974826236e-5 4.542483
true 1.0811596014015379e-6 259 4 1 0.064 3 5.685966778538979e-5 1.8944194
true 1.4607578899261675e-6 622 4 1 0.064 4 5.685966778538979e-5 4.7201439
true 6.66393265852383e-6 246 4 1 0.066 3 7.353031475438847e-5 1.5360662
true 8.56037968954837e-7 409 4 1 0.066 4 7.353031475438847e-5 3.4211113
true 2.321566446972234e-6 222 4 1 0.068 3 9.389084641884224e-5 1.7055675
true 2.3598463007590276e-6 351 4 1 0.068 4 9.389084641884224e-5 3.2544017
