g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.4302451865622068e-6 56 4 1 0.0 1 0.0 5.7908764
true 2.350766033498708e-7 71 4 2 0.0 1 0.0 0.4170214
true 3.172340655721584e-7 68 4 3 0.0 1 0.0 0.1801612
true 0.2500008429189311 70 4 4 0.0 1 0.0 0.1665795
true 2.2522898068810804e-7 49 4 1 0.01 1 2.049427791020832e-6 0.1171125
true 3.7422553200716635e-7 72 4 2 0.01 1 2.049427791020832e-6 0.1649242
true 2.970230044141431e-7 79 4 3 0.01 1 2.049427791020832e-6 0.1940339
true 3.5272617870951706e-7 95 4 4 0.01 1 2.049427791020832e-6 0.2421785
true 5.93805971560446e-7 64 4 1 0.02 1 1.5519341457791147e-8 0.1540027
true 1.5262426808493323e-7 72 4 2 0.02 1 1.5519341457791147e-8 0.1552301
true 5.019892358089825e-7 66 4 3 0.02 1 1.5519341457791147e-8 0.1439848
true 2.9854508878934816e-7 104 4 4 0.02 1 1.5519341457791147e-8 0.2309218
true 5.949535263893857e-7 56 4 1 0.03 1 9.85891651468959e-8 0.1139476
true 7.226003404525727e-7 69 4 2 0.03 1 9.85891651468959e-8 0.1616766
true 0.3333337351776516 52 4 3 0.03 1 9.85891651468959e-8 0.1245189
true 0.2500002455762693 94 4 4 0.03 1 9.85891651468959e-8 0.2198492
true 6.420614261926083e-7 54 4 1 0.04 1 5.221054521751489e-7 0.1326226
true 4.15938345599276e-7 70 4 2 0.04 1 5.221054521751489e-7 0.1622747
true 1.233121768751122e-6 73 4 3 0.04 1 5.221054521751489e-7 0.1843053
true 1.0389694190260368e-6 95 4 4 0.04 1 5.221054521751489e-7 0.2401239
true 1.0931077110143406e-7 59 4 1 0.05 1 2.252253432013266e-6 0.161685
true 5.285500147556021e-7 71 4 2 0.05 1 2.252253432013266e-6 0.1727539
true 8.09703710765349e-7 79 4 3 0.05 1 2.252253432013266e-6 0.1782051
true 0.2500008309097974 72 4 4 0.05 1 2.252253432013266e-6 0.1818559
true 1.0782198750503014e-7 56 4 1 0.06 1 3.2712639605332464e-5 0.154797
true 2.1141399589863497e-6 75 4 2 0.06 1 3.2712639605332464e-5 0.1645269
true 2.5355763275114462e-6 61 4 3 0.06 1 3.2712639605332464e-5 0.154106
true 1.8303865641638994e-6 99 4 4 0.06 1 3.2712639605332464e-5 0.2354194
true 3.237817090551154e-7 60 4 1 0.07 1 0.0001183786849266515 0.1438748
true 6.13217792558296e-6 78 4 2 0.07 1 0.0001183786849266515 0.1765567
true 7.510923884457288e-6 71 4 3 0.07 1 0.0001183786849266515 0.1903727
true 6.238201725863868e-6 77 4 4 0.07 1 0.0001183786849266515 0.1780234
true 1.1263911783299108e-6 57 4 1 0.08 1 0.00031555771092967207 0.1349861
true 1.566843843206489e-5 70 4 2 0.08 1 0.00031555771092967207 0.158567
true 1.9912240734868785e-5 70 4 3 0.08 1 0.00031555771092967207 0.1740051
true 1.585312142630968e-5 69 4 4 0.08 1 0.00031555771092967207 0.1742284
true 1.4901393635691207e-6 54 4 1 0.09 1 0.0006755458943422365 0.1438889
true 3.404650608856974e-5 61 4 2 0.09 1 0.0006755458943422365 0.1308348
