g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.5963008359886075e-7 56 4 1 0.0 1 0.0 6.3566725
true 4.8172925204426065e-8 156 4 1 0.0 2 0.0 1.0427249
true 9.742107169863345e-7 237 4 1 0.0 3 0.0 1.7055364
true 2.6818038042497605e-6 332 4 1 0.0 4 0.0 3.2706086
true 2.600483675896381e-7 78 4 2 0.0 1 0.0 0.1929991
true 9.81345986972304e-8 147 4 2 0.0 2 0.0 0.7064634
true 6.242280839452441e-8 526 4 2 0.0 3 0.0 3.3296584
true 1.9456716671056862e-5 373 4 2 0.0 4 0.0 3.7098175
true 2.779741244962608e-7 76 4 3 0.0 1 0.0 0.203772
true 1.1555792985284974e-6 229 4 3 0.0 2 0.0 1.2528949
true 5.475500563123514e-6 549 4 3 0.0 3 0.0 3.4574825
true 1.151292719586694e-5 796 4 3 0.0 4 0.0 6.852351
true 0.25000022946657574 108 4 4 0.0 1 0.0 0.2926154
true 6.216747049370142e-7 402 4 4 0.0 2 0.0 1.8471393
true 2.51029646567702e-5 431 4 4 0.0 3 0.0 2.9050232
true 1.2696543104359637e-5 425 4 4 0.0 4 0.0 4.2343471
true 1.348513262167117e-8 49 4 1 0.01 1 2.049427791020832e-6 0.1452449
true 5.464152935674704e-8 144 4 1 0.01 2 2.049427791020832e-6 0.7612316
true 4.836798389584729e-8 310 4 1 0.01 3 2.049427791020832e-6 2.3720614
true 1.1888948403537825e-7 350 4 1 0.01 4 2.049427791020832e-6 3.9171936
true 4.464976249562991e-7 65 4 2 0.01 1 2.049427791020832e-6 0.1847108
true 5.292612326457391e-7 167 4 2 0.01 2 2.049427791020832e-6 0.9398793
true 2.511195694165913e-7 316 4 2 0.01 3 2.049427791020832e-6 2.4553408
true 2.8277067640747333e-6 861 4 2 0.01 4 2.049427791020832e-6 7.8668582
true 5.814066811512161e-7 94 4 3 0.01 1 2.049427791020832e-6 0.3476726
true 7.739809020357313e-7 198 4 3 0.01 2 2.049427791020832e-6 1.2163611
true 3.0091389233155574e-6 492 4 3 0.01 3 2.049427791020832e-6 3.8981835
true 2.439935302319303e-7 462 4 3 0.01 4 2.049427791020832e-6 4.9766415
true 0.250000597037184 74 4 4 0.01 1 2.049427791020832e-6 0.231662
true 0.24998817422985753 145 4 4 0.01 2 2.049427791020832e-6 0.8667843
true 2.561965266184574e-7 329 4 4 0.01 3 2.049427791020832e-6 2.5312653
true 8.468788637111535e-6 731 4 4 0.01 4 2.049427791020832e-6 6.4043514
true 6.280753672704975e-7 53 4 1 0.02 1 1.5519341457791147e-8 0.1418952
true 1.3309005919559525e-7 142 4 1 0.02 2 1.5519341457791147e-8 0.7936164
true 9.110078141860711e-8 262 4 1 0.02 3 1.5519341457791147e-8 2.1782823
true 6.922019211708097e-7 472 4 1 0.02 4 1.5519341457791147e-8 4.3828718
true 1.40097735273903e-7 67 4 2 0.02 1 1.5519341457791147e-8 0.1791152
true 4.2491638441166657e-7 209 4 2 0.02 2 1.5519341457791147e-8 0.9898225
true 1.1464286306384075e-7 268 4 2 0.02 3 1.5519341457791147e-8 1.9948229
true 1.3998676688664613e-6 467 4 2 0.02 4 1.5519341457791147e-8 4.4749368
true 5.665814383585636e-7 84 4 3 0.02 1 1.5519341457791147e-8 0.2366805
true 3.5360903484956313e-7 325 4 3 0.02 2 1.5519341457791147e-8 1.539693
true 8.955855936539544e-6 289 4 3 0.02 3 1.5519341457791147e-8 2.2276455
true 4.937095594033843e-6 1758 4 3 0.02 4 1.5519341457791147e-8 14.7568553
true 3.845867377200163e-7 93 4 4 0.02 1 1.5519341457791147e-8 0.2680983
true 1.1403243725949253e-6 413 4 4 0.02 2 1.5519341457791147e-8 1.9475485
true 1.4734996295756586e-6 600 4 4 0.02 3 1.5519341457791147e-8 4.0618051
true 2.379997659590627e-6 1002 4 4 0.02 4 1.5519341457791147e-8 9.0562414
true 1.6081689563351986e-7 57 4 1 0.03 1 9.85891651468959e-8 0.1874469
true 3.1811760692335156e-7 133 4 1 0.03 2 9.85891651468959e-8 0.8424819
true 1.4573098133796591e-7 215 4 1 0.03 3 9.85891651468959e-8 2.1313491
true 2.211067980928405e-7 350 4 1 0.03 4 9.85891651468959e-8 4.0099919
true 6.102384176864817e-7 64 4 2 0.03 1 9.85891651468959e-8 0.1907826
true 2.6443593983960234e-7 194 4 2 0.03 2 9.85891651468959e-8 1.144386
true 4.023718358361905e-5 409 4 2 0.03 3 9.85891651468959e-8 3.1664616
true 7.091429637950952e-8 424 4 2 0.03 4 9.85891651468959e-8 5.4568286
true 2.971938555991945e-7 65 4 3 0.03 1 9.85891651468959e-8 0.2223061
true 2.143065928605914e-7 314 4 3 0.03 2 9.85891651468959e-8 1.7314424
true 2.053425167495663e-7 472 4 3 0.03 3 9.85891651468959e-8 3.5333476
true 1.943725017883313e-6 561 4 3 0.03 4 9.85891651468959e-8 6.0884014
true 1.7529512276459602e-7 100 4 4 0.03 1 9.85891651468959e-8 0.3173373
true 1.918153178098736e-7 240 4 4 0.03 2 9.85891651468959e-8 1.4034834
true 1.1981287331708224e-7 333 4 4 0.03 3 9.85891651468959e-8 2.858557
true 6.423611834838194e-6 889 4 4 0.03 4 9.85891651468959e-8 8.8722328
true 3.571632135046521e-7 58 4 1 0.04 1 5.221054521751489e-7 0.2009866
true 7.373871419025235e-8 165 4 1 0.04 2 5.221054521751489e-7 1.1232291
true 7.85406740200223e-8 251 4 1 0.04 3 5.221054521751489e-7 2.4237888
true 3.6409790971081435e-7 331 4 1 0.04 4 5.221054521751489e-7 3.9849287
true 3.212967862320504e-7 79 4 2 0.04 1 5.221054521751489e-7 0.277622
true 1.5383974300009484e-7 164 4 2 0.04 2 5.221054521751489e-7 1.095723
true 9.698478737329985e-7 367 4 2 0.04 3 5.221054521751489e-7 3.3718519
true 6.549781870562876e-6 743 4 2 0.04 4 5.221054521751489e-7 7.6305009
true 2.642653450513066e-7 64 4 3 0.04 1 5.221054521751489e-7 0.2449477
true 2.192517243500743e-7 289 4 3 0.04 2 5.221054521751489e-7 1.7325557
true 7.70538675365362e-7 333 4 3 0.04 3 5.221054521751489e-7 2.9991687
true 2.265352821767541e-5 800 4 3 0.04 4 5.221054521751489e-7 8.1683068
true 5.970271859251364e-7 156 4 4 0.04 1 5.221054521751489e-7 0.5829698
true 4.185374410797804e-7 331 4 4 0.04 2 5.221054521751489e-7 2.0151666
true 2.0663277214283404e-6 483 4 4 0.04 3 5.221054521751489e-7 4.2554144
true 1.7824362351093193e-6 817 4 4 0.04 4 5.221054521751489e-7 8.8860479
true 1.9122377953317837e-7 56 4 1 0.05 1 2.252253432013266e-6 0.2041163
true 4.507071907910998e-7 141 4 1 0.05 2 2.252253432013266e-6 0.9840453
true 4.835511722145469e-7 252 4 1 0.05 3 2.252253432013266e-6 2.501665
true 4.6784270496535996e-7 357 4 1 0.05 4 2.252253432013266e-6 5.0958282
true 2.3042399569794814e-6 67 4 2 0.05 1 2.252253432013266e-6 0.2646739
true 3.4888711455960397e-7 176 4 2 0.05 2 2.252253432013266e-6 1.2994083
true 7.282781704504027e-6 516 4 2 0.05 3 2.252253432013266e-6 4.4379586
true 4.151258427509408e-6 533 4 2 0.05 4 2.252253432013266e-6 6.4670339
true 5.188490260580695e-7 80 4 3 0.05 1 2.252253432013266e-6 0.3577086
true 3.883941425512442e-7 201 4 3 0.05 2 2.252253432013266e-6 1.3787872
true 4.284638537558709e-6 244 4 3 0.05 3 2.252253432013266e-6 2.4760169
true 3.4151553366760606e-7 417 4 3 0.05 4 2.252253432013266e-6 5.5151729
true 0.25000069412319276 58 4 4 0.05 1 2.252253432013266e-6 0.2278101
true 4.281072831513466e-7 225 4 4 0.05 2 2.252253432013266e-6 1.4896433
true 4.88465211817557e-6 279 4 4 0.05 3 2.252253432013266e-6 2.7265522
true 5.851835653158943e-6 981 4 4 0.05 4 2.252253432013266e-6 9.9270374
true 1.9502546294569711e-7 55 4 1 0.06 1 3.2712639605332464e-5 0.2007647
true 2.364835462398407e-6 139 4 1 0.06 2 3.2712639605332464e-5 0.9878493
true 1.2629739166158949e-6 263 4 1 0.06 3 3.2712639605332464e-5 2.6081398
true 1.1469709707001563e-6 458 4 1 0.06 4 3.2712639605332464e-5 5.3009112
true 3.2932514640038324e-6 97 4 2 0.06 1 3.2712639605332464e-5 0.3107978
true 2.0860335649131034e-6 239 4 2 0.06 2 3.2712639605332464e-5 1.3954534
true 1.7334648017008902e-7 275 4 2 0.06 3 3.2712639605332464e-5 2.5154964
true 8.606589287446509e-6 839 4 2 0.06 4 3.2712639605332464e-5 8.7980374
true 2.248329195579194e-6 63 4 3 0.06 1 3.2712639605332464e-5 0.2606526
true 1.7510555189170773e-6 168 4 3 0.06 2 3.2712639605332464e-5 1.1478454
true 1.336766641601983e-6 320 4 3 0.06 3 3.2712639605332464e-5 3.3743238
true 3.0082808251489603e-6 562 4 3 0.06 4 3.2712639605332464e-5 6.5207702
true 1.842613826283368e-6 88 4 4 0.06 1 3.2712639605332464e-5 0.3521491
true 1.442061837123032e-6 277 4 4 0.06 2 3.2712639605332464e-5 1.7959111
true 1.4478600264961061e-6 328 4 4 0.06 3 3.2712639605332464e-5 3.3597636
true 3.675540713732328e-6 376 4 4 0.06 4 3.2712639605332464e-5 5.0930476
true 7.615100307001299e-7 53 4 1 0.07 1 0.0001183786849266515 0.1764965
true 1.0835115542062734e-5 130 4 1 0.07 2 0.0001183786849266515 0.9520034
true 3.1111207149381315e-7 229 4 1 0.07 3 0.0001183786849266515 2.4599016
true 1.1020812334949781e-5 457 4 1 0.07 4 0.0001183786849266515 5.9949423
true 5.965030898530399e-6 60 4 2 0.07 1 0.0001183786849266515 0.233435
true 1.085760552055337e-5 173 4 2 0.07 2 0.0001183786849266515 1.1347919
true 2.3467480165101362e-5 345 4 2 0.07 3 0.0001183786849266515 3.2603373
true 1.4558228035865817e-6 441 4 2 0.07 4 0.0001183786849266515 5.6564774
true 7.319701687972617e-6 76 4 3 0.07 1 0.0001183786849266515 0.2727102
true 1.0389571384568827e-5 372 4 3 0.07 2 0.0001183786849266515 2.339854
true 8.913347215681414e-7 274 4 3 0.07 3 0.0001183786849266515 2.6792888
true 5.181658689586606e-6 1223 4 3 0.07 4 0.0001183786849266515 12.4175635
true 0.25000552301312096 69 4 4 0.07 1 0.0001183786849266515 0.2457777
true 6.210501415943037e-6 270 4 4 0.07 2 0.0001183786849266515 1.7132879
true 1.0619204473899524e-5 424 4 4 0.07 3 0.0001183786849266515 3.8213267
true 2.3245727048537557e-6 1027 4 4 0.07 4 0.0001183786849266515 11.0248779
true 5.599911723219719e-7 53 4 1 0.08 1 0.00031555771092967207 0.2081095
true 1.7648157532745845e-5 144 4 1 0.08 2 0.00031555771092967207 0.952486
true 9.986212773538394e-6 375 4 1 0.08 3 0.00031555771092967207 3.2692792
true 1.9496251391082353e-7 332 4 1 0.08 4 0.00031555771092967207 4.330783
true 1.5192243175005116e-5 64 4 2 0.08 1 0.00031555771092967207 0.2331978
true 1.3886194892842596e-5 165 4 2 0.08 2 0.00031555771092967207 1.1171763
true 2.2864078918577446e-5 408 4 2 0.08 3 0.00031555771092967207 3.3524089
true 8.285173051292283e-6 654 4 2 0.08 4 0.00031555771092967207 7.2017534
true 2.038891919919905e-5 57 4 3 0.08 1 0.00031555771092967207 0.2272001
true 1.8183388272900263e-5 305 4 3 0.08 2 0.00031555771092967207 1.8476382
true 1.6430027817186204e-5 1620 4 3 0.08 3 0.00031555771092967207 12.7549068
true 1.6677240518199927e-5 553 4 3 0.08 4 0.00031555771092967207 6.2319684
true 1.5509444246816773e-5 95 4 4 0.08 1 0.00031555771092967207 0.3880936
true 2.2331076501222458e-5 469 4 4 0.08 2 0.00031555771092967207 2.713335
true 2.6395326512829165e-5 546 4 4 0.08 3 0.00031555771092967207 5.3786551
true 2.4540561478339495e-5 735 4 4 0.08 4 0.00031555771092967207 9.2101456
true 1.7148191325255802e-6 74 4 1 0.09 1 0.0006755458943422365 0.3215318
true 6.221644444959207e-5 131 4 1 0.09 2 0.0006755458943422365 1.0588366
true 4.99340536983528e-5 274 4 1 0.09 3 0.0006755458943422365 2.6638271
true 2.240317126983582e-5 415 4 1 0.09 4 0.0006755458943422365 5.9354183
true 3.3767683093294254e-5 95 4 2 0.09 1 0.0006755458943422365 0.728481
true 5.800394136379339e-5 199 4 2 0.09 2 0.0006755458943422365 1.3607239
true 3.207197628693481e-5 570 4 2 0.09 3 0.0006755458943422365 4.9138944
true 6.606617878854304e-5 1648 4 2 0.09 4 0.0006755458943422365 17.0493344
true 4.482155930352061e-5 69 4 3 0.09 1 0.0006755458943422365 0.2834002
true 4.6042455317733357e-5 265 4 3 0.09 2 0.0006755458943422365 1.7159045
true 9.535317954652751e-5 387 4 3 0.09 3 0.0006755458943422365 3.4299021
true 4.046606660000155e-5 1170 4 3 0.09 4 0.0006755458943422365 12.7740781
true 3.468006367012e-5 122 4 4 0.09 1 0.0006755458943422365 0.4707269
true 4.248644324131301e-5 289 4 4 0.09 2 0.0006755458943422365 1.7785199
true 3.1400973472650584e-5 351 4 4 0.09 3 0.0006755458943422365 3.5049929
true 4.4577933441050654e-5 479 4 4 0.09 4 0.0006755458943422365 6.0053613
