g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 0.08235917207729726 58 4 1 1.0 1 0.28487427258540376 0.248448
true 0.002793251608965097 178 4 1 1.0 2 0.28487427258540376 1.2912531
true 1.524986753875801e-6 1724 4 1 1.0 3 0.28487427258540376 13.6525078
true 8.653110589174062e-8 356 4 1 1.0 4 0.28487427258540376 4.7038126
true 0.07565821695218922 63 4 2 1.0 1 0.28487427258540376 0.2470218
true 0.0015001714223921436 430 4 2 1.0 2 0.28487427258540376 2.6723864
true 0.00010411062941048654 1229 4 2 1.0 3 0.28487427258540376 10.3936279
true 7.23937325018964e-5 1466 4 2 1.0 4 0.28487427258540376 15.5796959
true 0.07342486037003819 79 4 3 1.0 1 0.28487427258540376 0.3307944
true 0.002000406363475112 370 4 3 1.0 2 0.28487427258540376 2.4288605
true 0.00020608099826156337 1217 4 3 1.0 3 0.28487427258540376 9.9026782
true 0.0006148558721176256 1902 4 3 1.0 4 0.28487427258540376 19.0192415
true 0.2638893806727137 68 4 4 1.0 1 0.28487427258540376 0.3178382
true 0.001552548148127067 789 4 4 1.0 2 0.28487427258540376 5.1884439
true 0.000175298954029679 1911 4 4 1.0 3 0.28487427258540376 15.538832
true 0.0011862554026306066 2340 4 4 1.0 4 0.28487427258540376 25.0155027
true 0.0805307411740473 55 4 1 1.01 1 0.2804340589275696 0.2028997
true 0.002710928966973558 140 4 1 1.01 2 0.2804340589275696 1.0267329
true 2.1774937235263803e-5 591 4 1 1.01 3 0.2804340589275696 5.051438
true 3.8240192978822307e-7 421 4 1 1.01 4 0.2804340589275696 5.6536286
true 0.07403608084347016 79 4 2 1.01 1 0.2804340589275696 0.289736
true 0.0014562002706658417 635 4 2 1.01 2 0.2804340589275696 3.5630914
true 6.0891845404753564e-5 451 4 2 1.01 3 0.2804340589275696 3.9997227
true 1.0625248310747182e-5 1333 4 2 1.01 4 0.2804340589275696 14.0135915
true 0.07187136454605818 72 4 3 1.01 1 0.2804340589275696 0.3248381
true 0.0019414596786393457 478 4 3 1.01 2 0.2804340589275696 2.9213751
true 0.00020608482741785172 1219 4 3 1.01 3 0.2804340589275696 9.8105882
true 0.0007778337955716697 3355 4 3 1.01 4 0.2804340589275696 34.6864931
true 0.2701331402560895 98 4 4 1.01 1 0.2804340589275696 0.416906
true 0.0015063740138528126 491 4 4 1.01 2 0.2804340589275696 3.2624068
true 0.0001389872773392281 1132 4 4 1.01 3 0.2804340589275696 9.3791598
true 0.00013525033385591856 2775 4 4 1.01 4 0.2804340589275696 29.3373667
true 0.07875690162389287 53 4 1 1.02 1 0.2760831699168543 0.2488638
true 0.002630674936716537 228 4 1 1.02 2 0.2760831699168543 1.4172204
true 2.8818019807197448e-5 274 4 1 1.02 3 0.2760831699168543 2.7872424
true 1.154524767066345e-6 343 4 1 1.02 4 0.2760831699168543 4.5194439
true 0.07246172872471068 58 4 2 1.02 1 0.2760831699168543 0.2525554
true 0.001413321941555773 432 4 2 1.02 2 0.2760831699168543 2.602283
true 0.00032440249895548945 551 4 2 1.02 3 0.2760831699168543 4.9589226
true 3.097764525883395e-5 1548 4 2 1.02 4 0.2760831699168543 15.8862464
true 0.07036276864516071 87 4 3 1.02 1 0.2760831699168543 0.3682507
true 0.0018847491747321365 286 4 3 1.02 2 0.2760831699168543 1.8806676
true 0.00021561281911371596 803 4 3 1.02 3 0.2760831699168543 6.691829
true 0.00016831709396743685 1719 4 3 1.02 4 0.2760831699168543 17.9731905
true 0.052772776855520606 85 4 4 1.02 1 0.2760831699168543 0.3999658
