g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 3.0706037140726394e-7 60 4 1 0.0 1 0.0 8.4871314
true 2.1411885890998406e-6 200 4 1 0.0 2 0.0 1.2451479
true 2.3961767681157653e-8 252 4 1 0.0 3 0.0 3.2323084
true 1.3258610623623213e-5 599 4 1 0.0 4 0.0 7.8858807
true 2.223682830093665e-7 83 4 2 0.0 1 0.0 0.2951391
true 2.5990202082160074e-7 189 4 2 0.0 2 0.0 1.238512
true 3.1294118138514015e-7 301 4 2 0.0 3 0.0 2.8815533
true 1.4840915826819234e-7 391 4 2 0.0 4 0.0 5.6771384
true 2.1128925451844674e-7 88 4 3 0.0 1 0.0 0.3143451
true 1.3356940696077993e-7 265 4 3 0.0 2 0.0 1.7069
true 6.190495481413668e-7 371 4 3 0.0 3 0.0 3.7227204
true 5.5133566607505164e-6 817 4 3 0.0 4 0.0 9.0928185
true 0.2500003335431823 82 4 4 0.0 1 0.0 0.2997248
true 2.9523449612822716e-7 266 4 4 0.0 2 0.0 1.7780973
true 4.0867027439078774e-5 349 4 4 0.0 3 0.0 3.4092296
true 3.2681571451864677e-7 795 4 4 0.0 4 0.0 9.2723745
true 2.4865731790280066e-7 58 4 1 0.004 1 7.134440692453073e-11 0.2051488
true 2.8276472469057623e-7 144 4 1 0.004 2 7.134440692453073e-11 1.0959886
true 4.2622190665753124e-8 225 4 1 0.004 3 7.134440692453073e-11 2.391118
true 1.277090826423688e-7 381 4 1 0.004 4 7.134440692453073e-11 4.9635665
true 2.51752651780901e-7 90 4 2 0.004 1 7.134440692453073e-11 0.3331136
true 5.918480237010471e-7 236 4 2 0.004 2 7.134440692453073e-11 1.4470095
true 3.5708587824145877e-6 392 4 2 0.004 3 7.134440692453073e-11 3.7009891
true 1.3601121726103393e-7 461 4 2 0.004 4 7.134440692453073e-11 6.1638138
true 0.3333335867510691 64 4 3 0.004 1 7.134440692453073e-11 0.2316933
true 4.2507813978002556e-7 184 4 3 0.004 2 7.134440692453073e-11 1.2630104
true 5.094161057428437e-7 447 4 3 0.004 3 7.134440692453073e-11 4.4052839
true 2.3224223438811364e-7 394 4 3 0.004 4 7.134440692453073e-11 5.2076463
true 8.250522036401531e-8 89 4 4 0.004 1 7.134440692453073e-11 0.3526311
true 5.146492335350583e-7 197 4 4 0.004 2 7.134440692453073e-11 1.2922224
true 2.3764114448487916e-6 365 4 4 0.004 3 7.134440692453073e-11 3.5274492
true 6.801660582950175e-7 676 4 4 0.004 4 7.134440692453073e-11 8.2017064
true 3.507460881735369e-7 63 4 1 0.008 1 1.4955651146532538e-6 0.2671383
true 1.8473085838799364e-7 125 4 1 0.008 2 1.4955651146532538e-6 0.911048
true 1.258508084411858e-7 301 4 1 0.008 3 1.4955651146532538e-6 3.0398418
true 8.632480391068675e-7 481 4 1 0.008 4 1.4955651146532538e-6 6.4088535
true 3.024653577321512e-7 77 4 2 0.008 1 1.4955651146532538e-6 0.308729
true 0.00016623052123856952 178 4 2 0.008 2 1.4955651146532538e-6 1.3001172
true 8.72739263318989e-6 540 4 2 0.008 3 1.4955651146532538e-6 4.935909
true 2.9267240104213776e-6 527 4 2 0.008 4 1.4955651146532538e-6 6.5473408
true 2.4194481000143025e-7 80 4 3 0.008 1 1.4955651146532538e-6 0.3639753
true 5.930353968823058e-7 211 4 3 0.008 2 1.4955651146532538e-6 1.4348351
true 3.6735166815867376e-7 347 4 3 0.008 3 1.4955651146532538e-6 3.6481778
true 1.0957627495367106e-6 494 4 3 0.008 4 1.4955651146532538e-6 6.3422672
true 0.25000022333030997 76 4 4 0.008 1 1.4955651146532538e-6 0.3345423
true 1.1713626611453698e-6 266 4 4 0.008 2 1.4955651146532538e-6 1.8727507
true 2.5748135752262646e-6 290 4 4 0.008 3 1.4955651146532538e-6 3.1104238
true 1.7781844982051043e-5 561 4 4 0.008 4 1.4955651146532538e-6 7.6551724
true 4.5351066585430644e-7 59 4 1 0.012 1 7.430868222476338e-6 0.2582132
true 6.68753467880645e-7 136 4 1 0.012 2 7.430868222476338e-6 0.9981482
true 1.4632998435182287e-7 369 4 1 0.012 3 7.430868222476338e-6 3.5313961
true 3.5520259641375063e-6 486 4 1 0.012 4 7.430868222476338e-6 6.1379794
true 5.384546949149804e-7 84 4 2 0.012 1 7.430868222476338e-6 0.3253601
true 7.680088761063963e-7 198 4 2 0.012 2 7.430868222476338e-6 1.4103511
true 2.3626132334975125e-6 499 4 2 0.012 3 7.430868222476338e-6 4.6712875
true 2.034251129517939e-6 472 4 2 0.012 4 7.430868222476338e-6 6.3246985
true 0.3333337534172814 51 4 3 0.012 1 7.430868222476338e-6 0.2315042
true 7.589304971504044e-7 246 4 3 0.012 2 7.430868222476338e-6 1.6512098
true 0.00019535329522583447 290 4 3 0.012 3 7.430868222476338e-6 3.0950104
true 6.424843669861069e-7 985 4 3 0.012 4 7.430868222476338e-6 11.3888467
true 0.2500003066049053 75 4 4 0.012 1 7.430868222476338e-6 0.3290938
true 2.98445829804983e-6 268 4 4 0.012 2 7.430868222476338e-6 1.9351804
true 5.374482942507863e-6 378 4 4 0.012 3 7.430868222476338e-6 3.8034891
true 4.49102338222207e-6 473 4 4 0.012 4 7.430868222476338e-6 6.999902
true 8.357051717311492e-10 45 4 1 0.016 1 6.162420807444187e-9 0.1639472
true 7.728432849241074e-8 150 4 1 0.016 2 6.162420807444187e-9 1.1064547
true 1.4235489759206743e-6 318 4 1 0.016 3 6.162420807444187e-9 3.3586161
true 2.647854345783074e-7 334 4 1 0.016 4 6.162420807444187e-9 5.1760201
true 2.178497075233654e-7 100 4 2 0.016 1 6.162420807444187e-9 0.3751037
true 1.0433242814134047e-7 191 4 2 0.016 2 6.162420807444187e-9 1.2759254
true 3.4285249672083573e-6 555 4 2 0.016 3 6.162420807444187e-9 5.1713453
true 2.4772999732136647e-7 611 4 2 0.016 4 6.162420807444187e-9 7.6463741
true 5.345968176103296e-7 70 4 3 0.016 1 6.162420807444187e-9 0.2900666
true 4.1571848354478763e-7 172 4 3 0.016 2 6.162420807444187e-9 1.2852806
true 5.86337589327431e-6 445 4 3 0.016 3 6.162420807444187e-9 4.2623733
true 2.0498195283250958e-5 485 4 3 0.016 4 6.162420807444187e-9 6.2288235
true 0.25000016916607976 67 4 4 0.016 1 6.162420807444187e-9 0.2951888
true 3.346875468157595e-7 445 4 4 0.016 2 6.162420807444187e-9 2.9686019
true 4.655009649287556e-6 599 4 4 0.016 3 6.162420807444187e-9 5.3876544
true 4.080459148930737e-6 661 4 4 0.016 4 6.162420807444187e-9 8.6487261
true 6.606566571587535e-8 62 4 1 0.02 1 1.5519341457791147e-8 0.2295903
true 3.4275153915075407e-7 122 4 1 0.02 2 1.5519341457791147e-8 0.8676355
true 4.621566729312576e-8 237 4 1 0.02 3 1.5519341457791147e-8 2.4567734
true 6.159966964131014e-5 325 4 1 0.02 4 1.5519341457791147e-8 5.6155603
true 1.7012701533647423e-7 69 4 2 0.02 1 1.5519341457791147e-8 0.2664542
true 3.0138118092826183e-6 286 4 2 0.02 2 1.5519341457791147e-8 1.7339393
true 1.4120313321652755e-6 439 4 2 0.02 3 1.5519341457791147e-8 3.870805
true 7.3796658743296994e-6 901 4 2 0.02 4 1.5519341457791147e-8 10.534077
true 0.33333352725632914 56 4 3 0.02 1 1.5519341457791147e-8 0.2403982
true 4.7125850074121917e-7 338 4 3 0.02 2 1.5519341457791147e-8 2.2213781
true 5.773425497309267e-7 433 4 3 0.02 3 1.5519341457791147e-8 3.9525665
