nsites nqubits0 h nlayers
4 2 0.57 4

g_converged iter h time
true 718 0.0 4.26
true 548 0.005 3.39
true 612 0.01 3.7
true 724 0.015 4.12
true 362 0.02 2.45
true 553 0.025 3.37
true 664 0.03 3.91
true 462 0.035 3.02
true 677 0.04 4.02
true 548 0.045 3.44
true 466 0.05 2.98
true 746 0.055 4.43
true 478 0.06 3.37
true 435 0.065 3.09
true 877 0.07 4.83
true 456 0.075 2.88
true 358 0.08 2.53
true 647 0.085 3.85
true 521 0.09 3.61
true 600 0.095 3.7
true 667 0.1 4.46
true 851 0.105 4.7
true 607 0.11 3.41
true 474 0.115 2.99
true 673 0.12 3.9
true 453 0.125 2.89
true 564 0.13 3.48
true 758 0.135 4.5
true 547 0.14 3.5
true 665 0.145 3.82
true 516 0.15 3.32
true 400 0.155 2.52
true 521 0.16 3.03
true 791 0.165 4.32
true 892 0.17 5.19
true 620 0.175 3.72
true 2442 0.18 12.24
true 1120 0.185 5.85
true 1082 0.19 5.88
true 456 0.195 2.89
true 1230 0.2 6.72
true 634 0.205 4.08
true 1516 0.21 8.14
true 723 0.215 4.25
true 1504 0.22 8.07
true 913 0.225 5.15
true 1328 0.23 7.05
true 1182 0.235 6.38
true 1112 0.24 5.76
true 1277 0.245 6.68
true 764 0.25 4.22
true 1477 0.255 7.54
true 1820 0.26 8.99
true 1287 0.265 6.63
true 753 0.27 4.1
true 1953 0.275 9.8
true 886 0.28 4.71
true 1654 0.285 8.2
true 745 0.29 4.18
true 1345 0.295 6.66
true 1602 0.3 7.91
true 1688 0.305 8.44
true 2360 0.31 11.69
true 1167 0.315 5.98
true 1092 0.32 5.47
true 877 0.325 4.86
true 1004 0.33 5.16
true 2175 0.335 10.79
true 1683 0.34 8.25
true 977 0.345 5.05
true 988 0.35 5.12
true 1362 0.355 6.88
true 1961 0.36 10.0
true 893 0.365 4.54
true 777 0.37 4.12
true 580 0.375 3.24
true 966 0.38 4.97
true 725 0.385 3.79
true 855 0.39 4.6
true 2210 0.395 10.75
true 1008 0.4 5.43
true 1055 0.405 5.56
true 670 0.41 3.9
true 1160 0.415 6.38
true 1125 0.42 5.9
true 688 0.425 4.03
true 1099 0.43 5.63
true 596 0.435 3.64
true 948 0.44 5.15
true 701 0.445 4.03
true 594 0.45 3.52
true 1020 0.455 5.32
true 536 0.46 3.15
true 1143 0.465 6.12
true 989 0.47 5.61
true 619 0.475 3.53
true 1266 0.48 6.87
true 1341 0.485 7.11
true 1192 0.49 5.93
true 802 0.495 4.29
true 2004 0.5 9.79
