changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged iter nsites nqubits0 h nlayers time
true 36 3 1 0.0 1 0.16
true 115 3 1 0.0 2 0.23
true 198 3 1 0.0 3 0.51
true 232 3 1 0.0 4 0.91
true 39 3 1 0.02040816326530612 1 0.06
true 109 3 1 0.02040816326530612 2 0.22
true 187 3 1 0.02040816326530612 3 0.54
true 231 3 1 0.02040816326530612 4 0.81
true 44 3 1 0.04081632653061224 1 0.06
true 252 3 1 0.04081632653061224 2 0.43
true 180 3 1 0.04081632653061224 3 0.48
true 202 3 1 0.04081632653061224 4 0.71
true 44 3 1 0.061224489795918366 1 0.06
true 151 3 1 0.061224489795918366 2 0.26
true 173 3 1 0.061224489795918366 3 0.49
true 242 3 1 0.061224489795918366 4 0.95
true 46 3 1 0.08163265306122448 1 0.06
true 121 3 1 0.08163265306122448 2 0.2
true 170 3 1 0.08163265306122448 3 0.45
true 241 3 1 0.08163265306122448 4 0.9
true 47 3 1 0.10204081632653061 1 0.06
true 107 3 1 0.10204081632653061 2 0.2
true 180 3 1 0.10204081632653061 3 0.48
true 226 3 1 0.10204081632653061 4 0.85
true 30 3 1 0.12244897959183673 1 0.04
true 202 3 1 0.12244897959183673 2 0.34
true 187 3 1 0.12244897959183673 3 0.48
true 216 3 1 0.12244897959183673 4 0.81
true 42 3 1 0.14285714285714285 1 0.06
true 156 3 1 0.14285714285714285 2 0.28
true 184 3 1 0.14285714285714285 3 0.48
true 255 3 1 0.14285714285714285 4 0.9
true 38 3 1 0.16326530612244897 1 0.05
true 106 3 1 0.16326530612244897 2 0.22
true 204 3 1 0.16326530612244897 3 0.53
true 218 3 1 0.16326530612244897 4 0.84
true 41 3 1 0.1836734693877551 1 0.06
true 130 3 1 0.1836734693877551 2 0.23
true 160 3 1 0.1836734693877551 3 0.44
true 211 3 1 0.1836734693877551 4 0.75
true 39 3 1 0.20408163265306123 1 0.05
true 213 3 1 0.20408163265306123 2 0.35
true 161 3 1 0.20408163265306123 3 0.43
true 251 3 1 0.20408163265306123 4 0.89
true 39 3 1 0.22448979591836735 1 0.04
true 111 3 1 0.22448979591836735 2 0.21
true 229 3 1 0.22448979591836735 3 0.55
true 217 3 1 0.22448979591836735 4 0.79
true 42 3 1 0.24489795918367346 1 0.05
true 116 3 1 0.24489795918367346 2 0.2
true 236 3 1 0.24489795918367346 3 0.6
true 237 3 1 0.24489795918367346 4 0.93
true 37 3 1 0.2653061224489796 1 0.05
true 151 3 1 0.2653061224489796 2 0.26
true 220 3 1 0.2653061224489796 3 0.56
true 230 3 1 0.2653061224489796 4 0.82
true 34 3 1 0.2857142857142857 1 0.04
true 128 3 1 0.2857142857142857 2 0.24
true 200 3 1 0.2857142857142857 3 0.49
true 227 3 1 0.2857142857142857 4 0.82
true 46 3 1 0.30612244897959184 1 0.06
true 116 3 1 0.30612244897959184 2 0.22
true 169 3 1 0.30612244897959184 3 0.47
true 239 3 1 0.30612244897959184 4 0.83
true 49 3 1 0.32653061224489793 1 0.06
true 116 3 1 0.32653061224489793 2 0.21
true 196 3 1 0.32653061224489793 3 0.49
true 234 3 1 0.32653061224489793 4 0.85
true 44 3 1 0.3469387755102041 1 0.05
true 106 3 1 0.3469387755102041 2 0.2
true 179 3 1 0.3469387755102041 3 0.48
true 233 3 1 0.3469387755102041 4 0.92
true 42 3 1 0.3673469387755102 1 0.05
true 128 3 1 0.3673469387755102 2 0.23
true 177 3 1 0.3673469387755102 3 0.48
true 219 3 1 0.3673469387755102 4 0.77
true 37 3 1 0.3877551020408163 1 0.05
true 124 3 1 0.3877551020408163 2 0.24
true 233 3 1 0.3877551020408163 3 0.55
true 232 3 1 0.3877551020408163 4 0.86
true 49 3 1 0.40816326530612246 1 0.06
true 149 3 1 0.40816326530612246 2 0.27
true 344 3 1 0.40816326530612246 3 0.75
true 236 3 1 0.40816326530612246 4 0.87
true 34 3 1 0.42857142857142855 1 0.05
true 128 3 1 0.42857142857142855 2 0.23
true 180 3 1 0.42857142857142855 3 0.46
true 258 3 1 0.42857142857142855 4 0.95
true 46 3 1 0.4489795918367347 1 0.06
true 113 3 1 0.4489795918367347 2 0.22
true 187 3 1 0.4489795918367347 3 0.49
true 215 3 1 0.4489795918367347 4 0.76
true 38 3 1 0.46938775510204084 1 0.05
true 230 3 1 0.46938775510204084 2 0.38
true 211 3 1 0.46938775510204084 3 0.54
true 219 3 1 0.46938775510204084 4 0.86
true 39 3 1 0.4897959183673469 1 0.05
true 101 3 1 0.4897959183673469 2 0.21
true 211 3 1 0.4897959183673469 3 0.5
true 224 3 1 0.4897959183673469 4 0.84
true 42 3 1 0.5102040816326531 1 0.06
true 115 3 1 0.5102040816326531 2 0.21
true 197 3 1 0.5102040816326531 3 0.52
true 242 3 1 0.5102040816326531 4 0.87
true 50 3 1 0.5306122448979592 1 0.06
true 104 3 1 0.5306122448979592 2 0.2
true 201 3 1 0.5306122448979592 3 0.55
true 262 3 1 0.5306122448979592 4 1.0
true 51 3 1 0.5510204081632653 1 0.06
true 130 3 1 0.5510204081632653 2 0.25
true 138 3 1 0.5510204081632653 3 0.42
true 255 3 1 0.5510204081632653 4 0.89
true 37 3 1 0.5714285714285714 1 0.05
true 111 3 1 0.5714285714285714 2 0.22
true 154 3 1 0.5714285714285714 3 0.46
true 250 3 1 0.5714285714285714 4 0.87
true 34 3 1 0.5918367346938775 1 0.05
true 144 3 1 0.5918367346938775 2 0.27
true 221 3 1 0.5918367346938775 3 0.52
true 237 3 1 0.5918367346938775 4 0.87
true 45 3 1 0.6122448979591837 1 0.05
true 126 3 1 0.6122448979591837 2 0.22
true 187 3 1 0.6122448979591837 3 0.51
true 227 3 1 0.6122448979591837 4 0.84
true 43 3 1 0.6326530612244898 1 0.05
true 117 3 1 0.6326530612244898 2 0.2
true 198 3 1 0.6326530612244898 3 0.53
true 236 3 1 0.6326530612244898 4 0.9
true 43 3 1 0.6530612244897959 1 0.05
true 166 3 1 0.6530612244897959 2 0.27
true 177 3 1 0.6530612244897959 3 0.45
true 220 3 1 0.6530612244897959 4 0.78
true 29 3 1 0.673469387755102 1 0.03
true 129 3 1 0.673469387755102 2 0.22
true 150 3 1 0.673469387755102 3 0.44
true 237 3 1 0.673469387755102 4 0.85
true 55 3 1 0.6938775510204082 1 0.06
true 136 3 1 0.6938775510204082 2 0.24
true 175 3 1 0.6938775510204082 3 0.53
true 241 3 1 0.6938775510204082 4 0.94
true 32 3 1 0.7142857142857143 1 0.04
true 133 3 1 0.7142857142857143 2 0.25
true 189 3 1 0.7142857142857143 3 0.52
true 215 3 1 0.7142857142857143 4 0.8
true 41 3 1 0.7346938775510204 1 0.05
true 115 3 1 0.7346938775510204 2 0.21
true 164 3 1 0.7346938775510204 3 0.48
true 234 3 1 0.7346938775510204 4 0.79
true 43 3 1 0.7551020408163265 1 0.05
true 590 3 1 0.7551020408163265 2 0.93
true 174 3 1 0.7551020408163265 3 0.49
true 225 3 1 0.7551020408163265 4 0.88
true 39 3 1 0.7755102040816326 1 0.05
true 133 3 1 0.7755102040816326 2 0.22
true 165 3 1 0.7755102040816326 3 0.43
true 262 3 1 0.7755102040816326 4 0.92
true 54 3 1 0.7959183673469388 1 0.06
true 183 3 1 0.7959183673469388 2 0.3
true 192 3 1 0.7959183673469388 3 0.48
true 230 3 1 0.7959183673469388 4 0.77
true 39 3 1 0.8163265306122449 1 0.05
true 104 3 1 0.8163265306122449 2 0.19
true 181 3 1 0.8163265306122449 3 0.5
true 235 3 1 0.8163265306122449 4 0.81
true 43 3 1 0.8367346938775511 1 0.05
true 193 3 1 0.8367346938775511 2 0.34
true 163 3 1 0.8367346938775511 3 0.46
true 211 3 1 0.8367346938775511 4 0.74
true 47 3 1 0.8571428571428571 1 0.05
true 216 3 1 0.8571428571428571 2 0.36
true 162 3 1 0.8571428571428571 3 0.46
true 244 3 1 0.8571428571428571 4 0.93
true 38 3 1 0.8775510204081632 1 0.05
true 124 3 1 0.8775510204081632 2 0.23
true 191 3 1 0.8775510204081632 3 0.51
true 262 3 1 0.8775510204081632 4 0.96
true 47 3 1 0.8979591836734694 1 0.06
true 130 3 1 0.8979591836734694 2 0.23
true 175 3 1 0.8979591836734694 3 0.45
true 205 3 1 0.8979591836734694 4 0.73
true 51 3 1 0.9183673469387755 1 0.06
true 123 3 1 0.9183673469387755 2 0.22
true 178 3 1 0.9183673469387755 3 0.48
true 255 3 1 0.9183673469387755 4 0.84
true 50 3 1 0.9387755102040817 1 0.06
true 242 3 1 0.9387755102040817 2 0.39
true 213 3 1 0.9387755102040817 3 0.55
true 230 3 1 0.9387755102040817 4 0.9
true 48 3 1 0.9591836734693877 1 0.06
true 113 3 1 0.9591836734693877 2 0.21
true 161 3 1 0.9591836734693877 3 0.44
true 246 3 1 0.9591836734693877 4 0.92
true 41 3 1 0.9795918367346939 1 0.05
true 138 3 1 0.9795918367346939 2 0.25
true 182 3 1 0.9795918367346939 3 0.46
true 247 3 1 0.9795918367346939 4 0.9
true 53 3 1 1.0 1 0.07
true 141 3 1 1.0 2 0.28
true 208 3 1 1.0 3 0.56
true 288 3 1 1.0 4 0.98
true 46 3 2 0.0 1 0.06
true 114 3 2 0.0 2 0.22
true 253 3 2 0.0 3 0.59
true 303 3 2 0.0 4 0.98
true 30 3 2 0.02040816326530612 1 0.05
true 127 3 2 0.02040816326530612 2 0.23
true 181 3 2 0.02040816326530612 3 0.52
true 245 3 2 0.02040816326530612 4 0.85
true 44 3 2 0.04081632653061224 1 0.05
true 120 3 2 0.04081632653061224 2 0.23
true 169 3 2 0.04081632653061224 3 0.49
true 275 3 2 0.04081632653061224 4 0.91
true 44 3 2 0.061224489795918366 1 0.05
true 104 3 2 0.061224489795918366 2 0.2
true 380 3 2 0.061224489795918366 3 0.87
true 646 3 2 0.061224489795918366 4 1.9
true 37 3 2 0.08163265306122448 1 0.05
true 205 3 2 0.08163265306122448 2 0.34
true 702 3 2 0.08163265306122448 3 1.59
true 269 3 2 0.08163265306122448 4 0.96
true 30 3 2 0.10204081632653061 1 0.05
true 202 3 2 0.10204081632653061 2 0.36
true 406 3 2 0.10204081632653061 3 0.9
true 288 3 2 0.10204081632653061 4 0.92
true 31 3 2 0.12244897959183673 1 0.05
true 118 3 2 0.12244897959183673 2 0.23
true 183 3 2 0.12244897959183673 3 0.49
true 365 3 2 0.12244897959183673 4 1.19
true 37 3 2 0.14285714285714285 1 0.04
true 137 3 2 0.14285714285714285 2 0.24
true 338 3 2 0.14285714285714285 3 0.76
true 339 3 2 0.14285714285714285 4 1.04
true 44 3 2 0.16326530612244897 1 0.06
true 114 3 2 0.16326530612244897 2 0.21
true 230 3 2 0.16326530612244897 3 0.58
true 315 3 2 0.16326530612244897 4 0.99
true 39 3 2 0.1836734693877551 1 0.06
true 126 3 2 0.1836734693877551 2 0.22
true 336 3 2 0.1836734693877551 3 0.75
true 305 3 2 0.1836734693877551 4 0.97
true 42 3 2 0.20408163265306123 1 0.07
true 127 3 2 0.20408163265306123 2 0.24
true 245 3 2 0.20408163265306123 3 0.63
true 235 3 2 0.20408163265306123 4 0.83
true 39 3 2 0.22448979591836735 1 0.06
true 212 3 2 0.22448979591836735 2 0.37
true 382 3 2 0.22448979591836735 3 0.86
true 258 3 2 0.22448979591836735 4 0.89
true 39 3 2 0.24489795918367346 1 0.05
true 317 3 2 0.24489795918367346 2 0.55
true 241 3 2 0.24489795918367346 3 0.63
true 327 3 2 0.24489795918367346 4 1.02
true 42 3 2 0.2653061224489796 1 0.06
true 129 3 2 0.2653061224489796 2 0.24
true 180 3 2 0.2653061224489796 3 0.48
true 271 3 2 0.2653061224489796 4 0.87
true 42 3 2 0.2857142857142857 1 0.06
true 162 3 2 0.2857142857142857 2 0.26
true 222 3 2 0.2857142857142857 3 0.56
true 233 3 2 0.2857142857142857 4 0.84
true 40 3 2 0.30612244897959184 1 0.06
true 122 3 2 0.30612244897959184 2 0.22
true 278 3 2 0.30612244897959184 3 0.69
true 293 3 2 0.30612244897959184 4 1.01
true 35 3 2 0.32653061224489793 1 0.04
true 128 3 2 0.32653061224489793 2 0.23
true 273 3 2 0.32653061224489793 3 0.65
true 529 3 2 0.32653061224489793 4 1.58
true 33 3 2 0.3469387755102041 1 0.05
true 113 3 2 0.3469387755102041 2 0.22
true 408 3 2 0.3469387755102041 3 0.94
true 264 3 2 0.3469387755102041 4 0.92
true 45 3 2 0.3673469387755102 1 0.06
