g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	3,27E-08	260	8	5	0	1	6,24
TRUE	1,43E-09	276	8	5	0,02	1	1,05
TRUE	0,200000141	186	8	5	0,04	1	0,76
TRUE	6,66E-07	235	8	5	0,06	1	0,9
TRUE	0,399999924	196	8	5	0,08	1	1,34
TRUE	0,200007958	163	8	5	0,1	1	1,25
TRUE	0,199995987	170	8	5	0,12	1	1,27
TRUE	0,40000052	168	8	5	0,14	1	1,36
TRUE	0,200002207	150	8	5	0,16	1	1,26
TRUE	0,200004158	191	8	5	0,18	1	1,51
TRUE	0,200006272	235	8	5	0,2	1	1,73
TRUE	1,46E-11	267	8	5	0,22	1	2
TRUE	2,25E-11	265	8	5	0,24	1	2,09
TRUE	0,200014467	150	8	5	0,26	1	1,31
TRUE	4,73E-11	190	8	5	0,28	1	1,56
TRUE	6,94E-10	161	8	5	0,3	1	1,43
TRUE	0,000109962	229	8	5	0,32	1	1,83
TRUE	0,000252154	281	8	5	0,34	1	2,26
TRUE	0,001031047	572	8	5	0,36	1	4,36
TRUE	0,005746491	224	8	5	0,38	1	1,87
TRUE	0,217358377	203	8	5	0,4	1	1,62
TRUE	0,210800264	320	8	5	0,42	1	2,6
TRUE	0,052782782	193	8	5	0,44	1	1,1
TRUE	0,333288017	225	8	5	0,46	1	1,19
TRUE	0,178301809	172	8	5	0,48	1	1,58
TRUE	0,362131967	390	8	5	0,5	1	3,57
TRUE	0,430001986	171	8	5	0,52	1	1,64
TRUE	0,23271561	232	8	5	0,54	1	2
TRUE	0,355546017	378	8	5	0,56	1	2,95
TRUE	0,234079368	316	8	5	0,58	1	2,43
TRUE	0,235930318	206	8	5	0,6	1	1,68
TRUE	1,02E-10	448	8	5	0	2	3,35
TRUE	2,09E-09	815	8	5	0,02	2	5,27
TRUE	5,07E-09	1015	8	5	0,04	2	6,5
TRUE	0,099998137	1018	8	5	0,06	2	7,7
TRUE	0,20000052	897	8	5	0,08	2	10,32
TRUE	2,37E-10	1352	8	5	0,1	2	15,14
TRUE	4,33E-09	629	8	5	0,12	2	8,23
TRUE	5,87E-08	1171	8	5	0,14	2	13,02
TRUE	0,200001088	1141	8	5	0,16	2	14,45
TRUE	4,16E-11	1566	8	5	0,18	2	17,83
TRUE	3,32E-09	1475	8	5	0,2	2	16,84
TRUE	4,63E-09	853	8	5	0,22	2	10,19
TRUE	7,12E-10	404	8	5	0,24	2	5,91
TRUE	0,000102746	489	8	5	0,26	2	6,9
TRUE	1,34E-10	1172	8	5	0,28	2	14,62
TRUE	0,000171312	481	8	5	0,3	2	6,8
TRUE	0,000245538	1240	8	5	0,32	2	14,87
TRUE	0,00041442	1218	8	5	0,34	2	14,94
TRUE	0,00068037	618	8	5	0,36	2	8,48
TRUE	0,000908157	1354	8	5	0,38	2	16,39
TRUE	0,002417738	1200	8	5	0,4	2	14,68
TRUE	0,017627258	1079	8	5	0,42	2	14,09
TRUE	0,005654011	1581	8	5	0,44	2	13,28
TRUE	0,012458481	497	8	5	0,46	2	4,66
TRUE	0,119655719	1802	8	5	0,48	2	23,15
TRUE	0,014932981	2357	8	5	0,5	2	32,06
TRUE	0,015942321	891	8	5	0,52	2	12,19
TRUE	0,160162211	1326	8	5	0,54	2	18,72
TRUE	0,017830433	698	8	5	0,56	2	9,01
TRUE	0,018677963	1127	8	5	0,58	2	14,82
