changes = Time vs h

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.285714721096676 308 8 7 0.0 1 11.44
true 0.1428574390641387 523 8 7 0.0 2 7.59
true 2.816022745750451e-6 2864 8 7 0.0 3 35.79
true 1.552300255931132e-5 3775 8 7 0.0 4 65.64
true 2.5554431050599037e-7 267 8 7 0.02 1 1.57
true 9.096678136311098e-7 2912 8 7 0.02 2 25.54
true 2.2573813679427346e-7 1464 8 7 0.02 3 19.97
true 4.707633018010059e-5 2222 8 7 0.02 4 42.37
true 0.14285853883313976 239 8 7 0.04 1 1.45
true 6.111531738106635e-5 1261 8 7 0.04 2 11.96
true 3.247693094613321e-6 1014 8 7 0.04 3 15.08
true 6.33118628570184e-5 3822 8 7 0.04 4 65.55
true 7.801983004493021e-7 369 8 7 0.06 1 2.06
true 1.8245441543321812e-7 3606 8 7 0.06 2 34.27
true 0.00015086777025616734 4288 8 7 0.06 3 55.95
true 4.5928145347127825e-5 2579 8 7 0.06 4 47.91
true 1.7689724125286815e-6 833 8 7 0.08 1 4.5
true 1.2819091277768306e-6 1231 8 7 0.08 2 11.16
true 2.0219720444406404e-5 2212 8 7 0.08 3 30.28
true 6.41169303211564e-5 1774 8 7 0.08 4 34.39
true 0.14288841682147546 186 8 7 0.1 1 1.21
true 4.5467003795501045e-6 2274 8 7 0.1 2 20.75
true 7.311181006981153e-6 1811 8 7 0.1 3 26.13
true 2.887252777268788e-5 7895 8 7 0.1 4 129.07
true 0.14286153993830167 294 8 7 0.12 1 1.68
true 1.0143827244822403e-5 2039 8 7 0.12 2 19.45
true 4.860205970521772e-6 1202 8 7 0.12 3 18.5
true 2.372885821237482e-5 2354 8 7 0.12 4 43.79
true 0.28572202086172993 164 8 7 0.14 1 1.15
true 2.1382599214581077e-6 1580 8 7 0.14 2 15.22
true 1.9839355985770295e-5 2046 8 7 0.14 3 28.32
true 2.4326011375387845e-5 4566 8 7 0.14 4 76.38
