changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 1.771791244831178e-7 560 9 1 0.0 1 7.95
true 1.8165057635854964e-7 420 9 1 0.0 2 4.16
true 2.902238988022887e-8 944 9 1 0.0 3 14.52
true 1.141629398238031e-6 2666 9 1 0.0 4 43.41
true 1.95243835043879e-7 171 9 1 0.02 1 0.91
true 1.1066901306477916e-7 417 9 1 0.02 2 3.99
true 1.8257559650791677e-6 922 9 1 0.02 3 13.12
true 7.757928940477221e-6 2283 9 1 0.02 4 36.7
true 1.369065089074084e-7 215 9 1 0.04 1 1.04
true 2.1826058616003507e-7 416 9 1 0.04 2 4.14
true 7.659947220961527e-8 1075 9 1 0.04 3 14.35
true 2.2128558745948546e-6 2026 9 1 0.04 4 40.24
true 2.776878542665173e-7 328 9 1 0.06 1 2.41
true 2.2921918413354447e-7 434 9 1 0.06 2 6.57
true 7.003837844687943e-7 716 9 1 0.06 3 17.14
true 5.719606227583274e-6 1315 9 1 0.06 4 37.24
true 2.1307934733316714e-7 416 9 1 0.08 1 2.97
true 1.164127336750198e-6 827 9 1 0.08 2 10.66
true 1.8306718493343865e-6 2105 9 1 0.08 3 40.47
true 1.3557979248179919e-5 1686 9 1 0.08 4 50.64
true 6.193140153487597e-7 168 9 1 0.1 1 1.37
true 1.0583670113084587e-6 454 9 1 0.1 2 7.53
true 1.6923333959750764e-6 832 9 1 0.1 3 18.03
true 2.9637591270170738e-5 2363 9 1 0.1 4 59.65
true 1.1183376988910254e-6 234 9 1 0.12 1 1.81
true 2.711119927112371e-6 473 9 1 0.12 2 7.61
true 2.079286607503672e-6 680 9 1 0.12 3 17.37
true 5.473112657328194e-5 3287 9 1 0.12 4 81.09
true 1.9363418596318738e-6 186 9 1 0.14 1 1.59
true 2.2049751745911728e-5 1035 9 1 0.14 2 13.61
true 3.7365389670140914e-6 2092 9 1 0.14 3 42.12
true 6.105148501300839e-6 2433 9 1 0.14 4 62.16
true 3.4697632438907e-6 169 9 1 0.16 1 1.5
true 4.349173368112247e-6 416 9 1 0.16 2 7.13
true 7.228417445492852e-6 1561 9 1 0.16 3 31.4
true 2.436390346516326e-5 1479 9 1 0.16 4 43.42
true 5.478292922467265e-6 178 9 1 0.18 1 1.61
true 1.769023884634624e-5 482 9 1 0.18 2 7.71
true 4.0417044371188204e-5 807 9 1 0.18 3 18.72
true 0.00011605683713045156 2967 9 1 0.18 4 79.05
true 8.991592526264025e-6 297 9 1 0.2 1 2.32
true 1.3518909666165868e-5 820 9 1 0.2 2 10.99
true 2.1428938489831406e-5 798 9 1 0.2 3 19.21
true 3.4314830634152305e-5 1958 9 1 0.2 4 52.93
true 1.5043496039535142e-5 194 9 1 0.22 1 1.67
true 2.3569900248709974e-5 638 9 1 0.22 2 9.07
true 2.68295140323227e-5 1210 9 1 0.22 3 25.76
true 4.399014074485397e-5 2523 9 1 0.22 4 75.87
true 2.064478093966038e-5 243 9 1 0.24 1 2.08
true 4.764014621833068e-5 776 9 1 0.24 2 13.16
true 4.470103897791233e-5 1280 9 1 0.24 3 26.82
true 5.537634634539268e-5 1963 9 1 0.24 4 59.71
true 3.009607699400174e-5 258 9 1 0.26 1 2.34
true 2.8545072147778683e-5 421 9 1 0.26 2 7.51
true 3.951755552272784e-5 874 9 1 0.26 3 23.86
true 9.249240951803017e-5 2725 9 1 0.26 4 71.4
true 4.333371167203337e-5 191 9 1 0.28 1 1.76
true 6.623108830705604e-5 464 9 1 0.28 2 8.65
true 9.783849057098948e-5 1839 9 1 0.28 3 41.76
true 7.692987461394019e-5 2739 9 1 0.28 4 76.24
true 6.03920364715127e-5 197 9 1 0.3 1 1.91
