changes = Time vs nsites = 4 vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 6.523740714303727e-8 52 4 1 0.0 1 0.0 5.28
true 4.866559819016736e-7 159 4 1 0.0 2 0.0 0.61
true 3.0435377829096666e-8 237 4 1 0.0 3 0.0 1.28
true 2.4880803406457375e-7 348 4 1 0.0 4 0.0 2.44
true 2.5716047574730894e-7 80 4 2 0.0 1 0.0 0.17
true 1.4688146907082533e-7 162 4 2 0.0 2 0.0 0.59
true 5.05576311865541e-6 585 4 2 0.0 3 0.0 2.43
true 4.2304748110177925e-7 548 4 2 0.0 4 0.0 3.33
true 8.443865516053843e-8 161 4 3 0.0 1 0.0 0.28
true 4.094270594778848e-8 277 4 3 0.0 2 0.0 0.88
true 1.1632218965829111e-8 581 4 3 0.0 3 0.0 2.64
true 9.521193258810179e-7 373 4 3 0.0 4 0.0 2.43
true 4.919962069693806e-8 87 4 4 0.0 1 0.0 0.16
true 6.138058861598905e-7 617 4 4 0.0 2 0.0 1.97
true 1.278002780630283e-6 457 4 4 0.0 3 0.0 2.22
true 1.5329242610023774e-5 719 4 4 0.0 4 0.0 4.48
true 3.1022940216729467e-7 53 4 1 0.02 1 1.5519341457791147e-8 0.12
true 1.0610444978187417e-7 130 4 1 0.02 2 1.5519341457791147e-8 0.45
true 1.1232988827991619e-7 264 4 1 0.02 3 1.5519341457791147e-8 1.33
true 2.156873296688122e-6 361 4 1 0.02 4 1.5519341457791147e-8 2.31
true 5.107357770595122e-7 70 4 2 0.02 1 1.5519341457791147e-8 0.13
true 1.8785194352832768e-7 180 4 2 0.02 2 1.5519341457791147e-8 0.56
true 8.006248526926107e-7 374 4 2 0.02 3 1.5519341457791147e-8 1.78
true 5.07746859132463e-5 475 4 2 0.02 4 1.5519341457791147e-8 3.01
true 0.33333363678835526 62 4 3 0.02 1 1.5519341457791147e-8 0.12
true 2.715961798238631e-7 177 4 3 0.02 2 1.5519341457791147e-8 0.65
true 3.1830255797782314e-6 629 4 3 0.02 3 1.5519341457791147e-8 2.77
true 8.427889264879992e-6 977 4 3 0.02 4 1.5519341457791147e-8 5.49
true 2.612702344889639e-7 239 4 4 0.02 1 1.5519341457791147e-8 0.43
true 0.00010637411360936433 180 4 4 0.02 2 1.5519341457791147e-8 0.63
true 6.348169682701688e-7 465 4 4 0.02 3 1.5519341457791147e-8 2.13
true 9.465648930367943e-7 841 4 4 0.02 4 1.5519341457791147e-8 4.91
true 2.7735186641786314e-7 105 4 1 0.04 1 5.221054521751489e-7 0.25
true 4.47948096338191e-7 153 4 1 0.04 2 5.221054521751489e-7 0.5
true 1.676611726120214e-7 281 4 1 0.04 3 5.221054521751489e-7 1.39
true 1.285243713677886e-7 339 4 1 0.04 4 5.221054521751489e-7 2.49
true 3.3679897193383823e-7 73 4 2 0.04 1 5.221054521751489e-7 0.14
true 4.5483091512532603e-7 196 4 2 0.04 2 5.221054521751489e-7 0.7
true 5.990407263872788e-6 678 4 2 0.04 3 5.221054521751489e-7 2.82
true 1.0392459166563839e-6 411 4 2 0.04 4 5.221054521751489e-7 2.74
true 0.3333334162635467 58 4 3 0.04 1 5.221054521751489e-7 0.12
true 4.900562540951133e-8 327 4 3 0.04 2 5.221054521751489e-7 1.02
true 5.421815164663446e-6 500 4 3 0.04 3 5.221054521751489e-7 2.27
true 4.442472270974977e-6 797 4 3 0.04 4 5.221054521751489e-7 4.62
true 0.2500003655726559 75 4 4 0.04 1 5.221054521751489e-7 0.14
true 3.7739881007803344e-7 252 4 4 0.04 2 5.221054521751489e-7 0.85
true 5.441512180154318e-6 601 4 4 0.04 3 5.221054521751489e-7 2.67
true 2.1409578682823893e-6 969 4 4 0.04 4 5.221054521751489e-7 5.45
true 1.9977953841232576e-7 74 4 1 0.06 1 3.2712639605332464e-5 0.2
true 2.328043668897717e-6 159 4 1 0.06 2 3.2712639605332464e-5 0.55
true 9.706792106767281e-7 217 4 1 0.06 3 3.2712639605332464e-5 1.16
true 5.321602352559296e-6 485 4 1 0.06 4 3.2712639605332464e-5 2.91
true 1.815691665546515e-6 72 4 2 0.06 1 3.2712639605332464e-5 0.14
true 3.2462717574621713e-6 197 4 2 0.06 2 3.2712639605332464e-5 0.65
true 2.1698891477794913e-6 360 4 2 0.06 3 3.2712639605332464e-5 1.71
true 1.2092435985044947e-6 368 4 2 0.06 4 3.2712639605332464e-5 2.53
true 2.335149565509583e-6 57 4 3 0.06 1 3.2712639605332464e-5 0.12
true 5.205152303809172e-5 179 4 3 0.06 2 3.2712639605332464e-5 0.63
true 1.5799722672589962e-6 526 4 3 0.06 3 3.2712639605332464e-5 2.47
true 4.29922399297622e-6 941 4 3 0.06 4 3.2712639605332464e-5 5.28
true 2.3094043700155886e-6 101 4 4 0.06 1 3.2712639605332464e-5 0.2
true 0.00018086391992661044 180 4 4 0.06 2 3.2712639605332464e-5 0.68
true 8.725814262548759e-5 400 4 4 0.06 3 3.2712639605332464e-5 1.94
true 1.5758317368150254e-5 877 4 4 0.06 4 3.2712639605332464e-5 4.84
true 5.371772077156223e-7 55 4 1 0.08 1 0.00031555771092967207 0.12
true 2.724253640284946e-5 211 4 1 0.08 2 0.00031555771092967207 0.7
true 2.575945470761898e-6 355 4 1 0.08 3 0.00031555771092967207 1.65
true 1.0268408970171006e-5 395 4 1 0.08 4 0.00031555771092967207 2.52
true 1.558331287068726e-5 75 4 2 0.08 1 0.00031555771092967207 0.19
true 1.2935069566566426e-5 234 4 2 0.08 2 0.00031555771092967207 0.78
true 1.5428569824116334e-5 544 4 2 0.08 3 0.00031555771092967207 2.45
true 2.005236163143964e-6 664 4 2 0.08 4 0.00031555771092967207 3.9
true 2.0167668228895003e-5 72 4 3 0.08 1 0.00031555771092967207 0.14
true 1.906809879026472e-5 247 4 3 0.08 2 0.00031555771092967207 0.84
true 2.10992409490444e-5 291 4 3 0.08 3 0.00031555771092967207 1.56
true 1.4265930204741355e-6 573 4 3 0.08 4 0.00031555771092967207 3.61
true 1.5473340016475268e-5 75 4 4 0.08 1 0.00031555771092967207 0.17
true 2.192846057416653e-6 234 4 4 0.08 2 0.00031555771092967207 0.76
true 9.1540083363012e-6 409 4 4 0.08 3 0.00031555771092967207 1.96
true 2.328336204143744e-5 842 4 4 0.08 4 0.00031555771092967207 4.76
true 4.034089669757712e-6 64 4 1 0.1 1 0.0012584685665444728 0.16
true 7.4684089761967165e-6 158 4 1 0.1 2 0.0012584685665444728 0.5
true 3.610773681261836e-5 257 4 1 0.1 3 0.0012584685665444728 1.34
true 8.749312186029368e-6 427 4 1 0.1 4 0.0012584685665444728 3.04
true 6.724506701530353e-5 62 4 2 0.1 1 0.0012584685665444728 0.12
true 6.396341519024351e-5 290 4 2 0.1 2 0.0012584685665444728 0.91
true 6.913897456101159e-5 636 4 2 0.1 3 0.0012584685665444728 2.78
true 3.616220472157927e-5 695 4 2 0.1 4 0.0012584685665444728 3.95
true 0.33333428731061415 67 4 3 0.1 1 0.0012584685665444728 0.13
true 0.0001133735763362842 246 4 3 0.1 2 0.0012584685665444728 0.85
true 8.358673399133654e-5 291 4 3 0.1 3 0.0012584685665444728 1.52
true 4.173480187374956e-5 657 4 3 0.1 4 0.0012584685665444728 4.26
true 6.723681547575466e-5 101 4 4 0.1 1 0.0012584685665444728 0.2
true 6.814938749281907e-5 288 4 4 0.1 2 0.0012584685665444728 1.02
true 7.1625568387787e-5 475 4 4 0.1 3 0.0012584685665444728 2.46
true 2.7240935285444134e-5 538 4 4 0.1 4 0.0012584685665444728 3.55
true 8.474389474266708e-6 54 4 1 0.12 1 0.002857451366537061 0.12
true 0.000282109556549337 133 4 1 0.12 2 0.002857451366537061 0.53
true 7.808745174420206e-5 322 4 1 0.12 3 0.002857451366537061 1.5
true 6.353209093667989e-5 344 4 1 0.12 4 0.002857451366537061 2.87
true 0.00016444394610240498 67 4 2 0.12 1 0.002857451366537061 0.12
true 0.00031957609397728626 205 4 2 0.12 2 0.002857451366537061 0.72
true 0.00015891878145496419 472 4 2 0.12 3 0.002857451366537061 2.32
true 3.661091960593943e-6 392 4 2 0.12 4 0.002857451366537061 2.63
true 0.00021760526849373685 74 4 3 0.12 1 0.002857451366537061 0.15
true 0.00011127416997739707 185 4 3 0.12 2 0.002857451366537061 0.66
true 0.00010476561749304485 395 4 3 0.12 3 0.002857451366537061 1.93
true 5.957481530201777e-5 406 4 3 0.12 4 0.002857451366537061 2.76
true 0.00016650975858624462 160 4 4 0.12 1 0.002857451366537061 0.32
true 0.00023076101742312838 236 4 4 0.12 2 0.002857451366537061 0.9
true 0.00017372991733473342 479 4 4 0.12 3 0.002857451366537061 2.19
true 0.00013483545781510509 595 4 4 0.12 4 0.002857451366537061 3.95
true 2.2056962799943403e-5 51 4 1 0.14 1 0.005207607228596099 0.11
true 0.000600000772234266 165 4 1 0.14 2 0.005207607228596099 0.57
true 6.90056796673888e-5 317 4 1 0.14 3 0.005207607228596099 1.53
true 2.5796190270543917e-6 421 4 1 0.14 4 0.005207607228596099 2.94
true 0.0003226967008899406 67 4 2 0.14 1 0.005207607228596099 0.12
true 0.00030531644287221105 177 4 2 0.14 2 0.005207607228596099 0.64
true 0.0003045581045665602 238 4 2 0.14 3 0.005207607228596099 1.32
