changes = Time vs nsites = 4 vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.392524451859778e-7 55 4 1 0.0 1 0.0 5.07
true 1.0362588537260464e-7 141 4 1 0.0 2 0.0 0.77
true 1.0432885028111016e-7 344 4 1 0.0 3 0.0 1.68
true 1.4881151921830593e-8 340 4 1 0.0 4 0.0 2.62
true 3.349920844331056e-7 60 4 2 0.0 1 0.0 0.14
true 2.7555411992563617e-5 225 4 2 0.0 2 0.0 0.76
true 9.261444859354206e-7 506 4 2 0.0 3 0.0 2.46
true 5.3733672086275774e-6 689 4 2 0.0 4 0.0 4.49
true 2.6808207113463805e-7 72 4 3 0.0 1 0.0 0.16
true 8.700225156606697e-7 176 4 3 0.0 2 0.0 0.61
true 1.425952678528001e-7 586 4 3 0.0 3 0.0 2.94
true 1.5938252249103613e-6 715 4 3 0.0 4 0.0 4.46
true 3.824000029267749e-7 86 4 4 0.0 1 0.0 0.21
true 7.850772931750072e-8 262 4 4 0.0 2 0.0 0.9
true 1.9987765523254986e-7 415 4 4 0.0 3 0.0 2.19
true 3.265189177248384e-5 508 4 4 0.0 4 0.0 3.57
true 3.854051450202789e-7 55 4 1 0.02 1 1.5519341457791147e-8 0.14
true 1.265866215183209e-7 98 4 1 0.02 2 1.5519341457791147e-8 0.37
true 1.7601977205239372e-6 245 4 1 0.02 3 1.5519341457791147e-8 1.49
true 8.160491314357365e-7 527 4 1 0.02 4 1.5519341457791147e-8 3.53
true 3.1037780096054846e-8 77 4 2 0.02 1 1.5519341457791147e-8 0.14
true 5.826663901087326e-7 156 4 2 0.02 2 1.5519341457791147e-8 0.61
true 2.0469894382313392e-7 402 4 2 0.02 3 1.5519341457791147e-8 2.04
true 1.1341994596014704e-6 539 4 2 0.02 4 1.5519341457791147e-8 3.56
true 7.965275534889867e-7 68 4 3 0.02 1 1.5519341457791147e-8 0.14
true 2.751017741386974e-7 217 4 3 0.02 2 1.5519341457791147e-8 0.78
true 8.72915500993443e-8 285 4 3 0.02 3 1.5519341457791147e-8 1.52
true 5.247830621835092e-6 1501 4 3 0.02 4 1.5519341457791147e-8 8.31
true 4.550939263353593e-7 114 4 4 0.02 1 1.5519341457791147e-8 0.29
true 3.4075788975240773e-7 366 4 4 0.02 2 1.5519341457791147e-8 1.32
true 6.118229127438646e-6 676 4 4 0.02 3 1.5519341457791147e-8 3.29
true 7.082356037108051e-6 1250 4 4 0.02 4 1.5519341457791147e-8 7.4
true 1.0451742726846902e-7 53 4 1 0.04 1 5.221054521751489e-7 0.11
true 4.076418609888499e-7 120 4 1 0.04 2 5.221054521751489e-7 0.46
true 1.5848332696188905e-7 244 4 1 0.04 3 5.221054521751489e-7 1.39
true 1.6500507898919992e-7 344 4 1 0.04 4 5.221054521751489e-7 3.9
true 1.0536173333519638e-6 66 4 2 0.04 1 5.221054521751489e-7 0.24
true 1.709681910488925e-7 219 4 2 0.04 2 5.221054521751489e-7 1.28
true 1.3248305021085205e-6 333 4 2 0.04 3 5.221054521751489e-7 3.23
true 3.09322784219912e-7 458 4 2 0.04 4 5.221054521751489e-7 5.8
