

g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.3511712371183648e-7 239 4 1 0.0 3 0.0 1.32
true 1.2801281940033604e-7 415 4 1 0.0 4 0.0 2.86
true 1.2337491716030158e-6 611 4 2 0.0 3 0.0 2.58
true 1.0527482708078129e-6 496 4 2 0.0 4 0.0 3.08
true 4.971898437215276e-6 578 4 3 0.0 3 0.0 2.48
true 3.1362183200063973e-6 931 4 3 0.0 4 0.0 5.63
true 6.646990874131786e-5 367 4 4 0.0 3 0.0 1.84
true 1.0483724724175136e-6 531 4 4 0.0 4 0.0 3.47
true 3.5579179857858634e-7 216 4 1 0.04 3 5.221054521751489e-7 1.19
true 1.9833382109424313e-6 427 4 1 0.04 4 5.221054521751489e-7 2.89
true 3.4649841734735176e-6 276 4 2 0.04 3 5.221054521751489e-7 1.47
true 6.760006893663517e-5 427 4 2 0.04 4 5.221054521751489e-7 2.87
true 4.011465555286975e-7 241 4 3 0.04 3 5.221054521751489e-7 1.33
true 6.080395639744089e-6 738 4 3 0.04 4 5.221054521751489e-7 4.42
true 1.7744634933231085e-6 390 4 4 0.04 3 5.221054521751489e-7 1.88
true 1.1483068318940415e-5 856 4 4 0.04 4 5.221054521751489e-7 4.82
true 6.728483278761743e-6 289 4 1 0.08 3 0.00031555771092967207 1.43
true 2.2079684543097056e-5 339 4 1 0.08 4 0.00031555771092967207 2.63
true 7.971263917605498e-6 272 4 2 0.08 3 0.00031555771092967207 1.39
true 5.171293961436785e-6 505 4 2 0.08 4 0.00031555771092967207 3.11
true 2.1411893658359233e-5 635 4 3 0.08 3 0.00031555771092967207 2.5
true 5.9146092666328975e-6 499 4 3 0.08 4 0.00031555771092967207 2.24
true 2.8865306506226096e-5 1096 4 4 0.08 3 0.00031555771092967207 3.38
true 1.958961738407483e-5 868 4 4 0.08 4 0.00031555771092967207 3.83
true 0.00021092409895345776 324 4 1 0.12 3 0.002857451366537061 1.15
true 6.034430440837735e-5 378 4 1 0.12 4 0.002857451366537061 1.85
true 8.305845715755877e-5 421 4 2 0.12 3 0.002857451366537061 1.39
true 0.00013322771496290797 558 4 2 0.12 4 0.002857451366537061 2.48
true 0.00012370236542819102 603 4 3 0.12 3 0.002857451366537061 1.89
true 0.00015105126207975994 551 4 3 0.12 4 0.002857451366537061 2.49
true 7.906800718132656e-6 733 4 4 0.12 3 0.002857451366537061 2.46
true 1.3892919629998612e-5 834 4 4 0.12 4 0.002857451366537061 3.74
true 6.607152339810352e-5 333 4 1 0.16 3 0.009312166724123666 1.09
true 0.00010132036167836977 370 4 1 0.16 4 0.009312166724123666 2.06
true 0.0005604402620785209 319 4 2 0.16 3 0.009312166724123666 1.18
true 6.729803197411122e-5 1061 4 2 0.16 4 0.009312166724123666 4.18
true 0.00013243189211429676 550 4 3 0.16 3 0.009312166724123666 1.83
true 1.3207563873129935e-5 1404 4 3 0.16 4 0.009312166724123666 5.54
true 0.0005622497369073692 442 4 4 0.16 3 0.009312166724123666 1.56
true 0.00015658252787587035 1167 4 4 0.16 4 0.009312166724123666 4.78
true 4.980076295846292e-6 880 4 1 0.2 3 0.028809882776728333 2.82
true 2.9651244825956713e-5 585 4 1 0.2 4 0.028809882776728333 2.51
true 0.00016633709086671944 1183 4 2 0.2 3 0.028809882776728333 3.6
true 8.404651361204607e-6 1786 4 2 0.2 4 0.028809882776728333 6.72
true 0.001763475851878286 662 4 3 0.2 3 0.028809882776728333 2.17
true 3.173534230412519e-5 1611 4 3 0.2 4 0.028809882776728333 6.12
true 0.0024685917548995934 667 4 4 0.2 3 0.028809882776728333 2.14
true 0.00011611642242641274 661 4 4 0.2 4 0.028809882776728333 2.94
true 0.00025086466692120224 268 4 1 0.24 3 0.08188079160576314 0.97
true 1.0031056453252418e-5 629 4 1 0.24 4 0.08188079160576314 2.76
true 0.0007822644099786669 908 4 2 0.24 3 0.08188079160576314 2.92
true 8.096328087331406e-5 831 4 2 0.24 4 0.08188079160576314 3.37
true 0.005117363273408855 615 4 3 0.24 3 0.08188079160576314 2.01
true 5.613326422867123e-5 2261 4 3 0.24 4 0.08188079160576314 8.79
true 0.00016307323478147173 890 4 4 0.24 3 0.08188079160576314 2.87
true 0.00019113678958222746 967 4 4 0.24 4 0.08188079160576314 3.89
true 0.00013549173718052643 371 4 1 0.28 3 0.1955000413843353 1.32
true 2.1740483078236394e-6 651 4 1 0.28 4 0.1955000413843353 2.64
true 0.022564960989140043 314 4 2 0.28 3 0.1955000413843353 1.2
true 4.225274528812939e-6 2399 4 2 0.28 4 0.1955000413843353 9.05
true 0.000857607660188738 1965 4 3 0.28 3 0.1955000413843353 5.99
true 8.800826535974397e-5 990 4 3 0.28 4 0.1955000413843353 4.0
true 0.0005588877131558756 960 4 4 0.28 3 0.1955000413843353 2.97
true 1.8990759905107568e-5 1303 4 4 0.28 4 0.1955000413843353 5.13
true 0.00010543683462177489 309 4 1 0.32 3 0.3673031991535092 1.1
true 1.9965508291086564e-7 620 4 1 0.32 4 0.3673031991535092 2.74
true 0.0056751107939843615 1039 4 2 0.32 3 0.3673031991535092 3.13
true 5.884468058400816e-5 1118 4 2 0.32 4 0.3673031991535092 4.26
true 8.957555166921871e-5 387 4 3 0.32 3 0.3673031991535092 1.39
true 0.0002036013206676568 621 4 3 0.32 4 0.3673031991535092 2.69
true 0.00012118585385867409 926 4 4 0.32 3 0.3673031991535092 2.9
true 0.000943876824907805 982 4 4 0.32 4 0.3673031991535092 3.95
true 0.0003489124164403612 477 4 1 0.36 3 0.5242078864035358 1.51
true 7.239339170905801e-7 512 4 1 0.36 4 0.5242078864035358 2.2
true 0.0004255569545534299 353 4 2 0.36 3 0.5242078864035358 1.18
true 8.726963597227577e-5 1147 4 2 0.36 4 0.5242078864035358 4.45
true 7.549643905670662e-5 379 4 3 0.36 3 0.5242078864035358 1.29
true 0.0015445674663048063 504 4 3 0.36 4 0.5242078864035358 2.4
true 7.988818756354821e-5 1267 4 4 0.36 3 0.5242078864035358 4.02
true 0.00013823442332017155 1055 4 4 0.36 4 0.5242078864035358 4.22
true 6.280879854481114e-5 507 4 1 0.4 3 0.6032626509160969 1.66
true 2.43545419997826e-7 644 4 1 0.4 4 0.6032626509160969 2.68
true 0.016371875414718073 628 4 2 0.4 3 0.6032626509160969 1.97
true 3.193835530823641e-6 1083 4 2 0.4 4 0.6032626509160969 4.14
true 0.00021288646878164785 799 4 3 0.4 3 0.6032626509160969 2.32
true 0.0002442476490816155 871 4 3 0.4 4 0.6032626509160969 3.61
true 5.32731914947987e-5 466 4 4 0.4 3 0.6032626509160969 1.55
true 0.0003767762715650713 1408 4 4 0.4 4 0.6032626509160969 5.45
true 9.639857401322338e-6 325 4 1 0.44 3 0.6197629413526827 1.11
true 1.0110088410897333e-7 370 4 1 0.44 4 0.6197629413526827 1.75
true 0.029536788330610547 1470 4 2 0.44 3 0.6197629413526827 4.59
true 6.012624730600269e-7 1076 4 2 0.44 4 0.6197629413526827 4.1
true 0.00012991844806488814 2067 4 3 0.44 3 0.6197629413526827 5.9
true 0.00011373130604587962 1826 4 3 0.44 4 0.6197629413526827 6.8
true 0.0001034692090522843 1429 4 4 0.44 3 0.6197629413526827 4.25
true 2.4372350025073097e-5 1607 4 4 0.44 4 0.6197629413526827 6.11
