g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 5.228994220951577e-8 300 4 1 0.0 3 0.0 1.3
true 1.0769244435104852e-7 402 4 1 0.0 4 0.0 2.63
true 9.907024118294139e-7 925 4 2 0.0 3 0.0 3.61
true 1.75491686957574e-5 1224 4 2 0.0 4 0.0 6.66
true 1.5153401316155464e-6 330 4 3 0.0 3 0.0 1.48
true 3.2512447918908727e-6 1191 4 3 0.0 4 0.0 6.94
true 3.132270585126662e-7 432 4 4 0.0 3 0.0 2.04
true 4.375449249971464e-6 625 4 4 0.0 4 0.0 3.91
true 3.8001899121953286e-7 245 4 1 0.04 3 5.221054521751489e-7 1.36
true 1.26264205868587e-7 327 4 1 0.04 4 5.221054521751489e-7 2.42
true 3.6599647393609214e-6 302 4 2 0.04 3 5.221054521751489e-7 1.6
true 9.063921153379395e-6 597 4 2 0.04 4 5.221054521751489e-7 3.35
true 1.0960035577804266e-6 464 4 3 0.04 3 5.221054521751489e-7 2.12
true 4.163555228364757e-7 545 4 3 0.04 4 5.221054521751489e-7 3.31
true 1.2808829865929017e-6 388 4 4 0.04 3 5.221054521751489e-7 2.49
true 4.948907208965347e-6 1429 4 4 0.04 4 5.221054521751489e-7 8.91
true 3.8020516224257506e-7 306 4 1 0.08 3 0.00031555771092967207 2.02
true 3.0932244543535603e-7 502 4 1 0.08 4 0.00031555771092967207 3.56
true 1.484696099487981e-5 377 4 2 0.08 3 0.00031555771092967207 2.26
true 2.897457174050322e-6 765 4 2 0.08 4 0.00031555771092967207 4.9
true 2.7422331505692437e-5 297 4 3 0.08 3 0.00031555771092967207 1.74
true 2.829546495231039e-5 396 4 3 0.08 4 0.00031555771092967207 3.02
true 1.3723803394163903e-5 286 4 4 0.08 3 0.00031555771092967207 1.95
true 4.74811328719793e-6 774 4 4 0.08 4 0.00031555771092967207 5.27
true 0.00015696786809071828 229 4 1 0.12 3 0.002857451366537061 1.39
true 5.56521731834847e-5 479 4 1 0.12 4 0.002857451366537061 3.38
true 0.00015049283323412266 246 4 2 0.12 3 0.002857451366537061 1.53
true 6.949778786896621e-5 625 4 2 0.12 4 0.002857451366537061 4.42
true 0.00018902207474012314 297 4 3 0.12 3 0.002857451366537061 1.82
true 0.00022424310783651183 790 4 3 0.12 4 0.002857451366537061 5.42
true 0.0002476633882197432 357 4 4 0.12 3 0.002857451366537061 1.98
true 0.00015251073799034398 1238 4 4 0.12 4 0.002857451366537061 7.35
true 3.490020696633733e-5 255 4 1 0.16 3 0.009312166724123666 1.56
true 2.539116271188524e-5 879 4 1 0.16 4 0.009312166724123666 4.93
true 3.935014186115526e-5 479 4 2 0.16 3 0.009312166724123666 2.15
true 0.0005303455141932034 484 4 2 0.16 4 0.009312166724123666 3.02
true 0.0004512521026625212 432 4 3 0.16 3 0.009312166724123666 2.0
true 3.322126931056454e-5 891 4 3 0.16 4 0.009312166724123666 5.26
true 0.0005700373733231595 294 4 4 0.16 3 0.009312166724123666 1.66
true 0.0007560867422300027 925 4 4 0.16 4 0.009312166724123666 5.54
true 5.5482007921159315e-5 696 4 1 0.2 3 0.028809882776728333 3.15
true 3.413419861020284e-5 430 4 1 0.2 4 0.028809882776728333 3.56
true 5.959390435686385e-5 844 4 2 0.2 3 0.028809882776728333 3.63
true 3.142132469458048e-5 1139 4 2 0.2 4 0.028809882776728333 6.43
true 4.1058110216762866e-5 724 4 3 0.2 3 0.028809882776728333 3.3
true 6.140470697539128e-5 863 4 3 0.2 4 0.028809882776728333 4.85
true 0.2500367905298611 672 4 4 0.2 3 0.028809882776728333 2.95
true 1.6928924207362805e-5 1521 4 4 0.2 4 0.028809882776728333 8.48
true 0.0003961823577960377 577 4 1 0.24 3 0.08188079160576314 2.64
true 3.3936480366425492e-6 1171 4 1 0.24 4 0.08188079160576314 5.9
true 7.147678121413592e-5 1304 4 2 0.24 3 0.08188079160576314 5.19
true 0.00014708414739622588 1193 4 2 0.24 4 0.08188079160576314 6.03
true 0.005388821057542181 514 4 3 0.24 3 0.08188079160576314 2.11
true 1.1878708852349392e-5 673 4 3 0.24 4 0.08188079160576314 3.59
true 0.00827076013821157 1068 4 4 0.24 3 0.08188079160576314 4.36
true 0.00010235031668584527 877 4 4 0.24 4 0.08188079160576314 4.74
true 4.587418035162383e-6 616 4 1 0.28 3 0.1955000413843353 2.5
true 1.242195697792603e-5 786 4 1 0.28 4 0.1955000413843353 4.13
true 0.00010678570357949835 1062 4 2 0.28 3 0.1955000413843353 4.02
true 8.761209278979054e-6 1061 4 2 0.28 4 0.1955000413843353 5.53
true 0.0002410487602885203 2079 4 3 0.28 3 0.1955000413843353 7.88
true 0.0003356619849539018 1017 4 3 0.28 4 0.1955000413843353 5.18
true 0.00010207103278690732 549 4 4 0.28 3 0.1955000413843353 2.37
true 2.1708990391375305e-5 1181 4 4 0.28 4 0.1955000413843353 6.1
true 0.00026503115031151214 788 4 1 0.32 3 0.3673031991535092 3.06
true 3.791538275010886e-7 396 4 1 0.32 4 0.3673031991535092 2.23
true 0.005588397660017591 591 4 2 0.32 3 0.3673031991535092 2.36
true 7.986018492611713e-7 694 4 2 0.32 4 0.3673031991535092 3.69
true 0.03981003370615114 1560 4 3 0.32 3 0.3673031991535092 6.04
true 4.661983026639967e-6 1310 4 3 0.32 4 0.3673031991535092 6.43
true 0.030225338934682836 952 4 4 0.32 3 0.3673031991535092 3.84
true 2.1083652090123084e-5 1487 4 4 0.32 4 0.3673031991535092 7.37
true 2.5858239617870815e-6 500 4 1 0.36 3 0.5242078864035358 2.02
true 4.543398635092899e-8 722 4 1 0.36 4 0.5242078864035358 4.24
true 0.011064771867855178 522 4 2 0.36 3 0.5242078864035358 2.08
true 2.749446995325977e-6 694 4 2 0.36 4 0.5242078864035358 3.67
true 0.06603625573621268 1033 4 3 0.36 3 0.5242078864035358 3.98
true 7.583375265022656e-5 1251 4 3 0.36 4 0.5242078864035358 7.08
true 0.0001470361022284511 1329 4 4 0.36 3 0.5242078864035358 5.53
true 2.172402506864235e-5 1622 4 4 0.36 4 0.5242078864035358 7.58
true 7.616249960706867e-7 1187 4 1 0.4 3 0.6032626509160969 4.22
true 2.544143924976261e-7 431 4 1 0.4 4 0.6032626509160969 2.45
true 0.003333323778581365 397 4 2 0.4 3 0.6032626509160969 1.64
true 4.326281601019222e-7 866 4 2 0.4 4 0.6032626509160969 4.15
true 6.044664834788568e-5 932 4 3 0.4 3 0.6032626509160969 3.46
true 6.043526891571135e-5 1087 4 3 0.4 4 0.6032626509160969 5.38
true 0.07398393592025959 960 4 4 0.4 3 0.6032626509160969 3.55
true 0.00020609155093491427 1105 4 4 0.4 4 0.6032626509160969 5.5
true 5.986142423419771e-7 965 4 1 0.44 3 0.6197629413526827 3.4
true 6.484390541183771e-8 411 4 1 0.44 4 0.6197629413526827 2.61
true 0.0036539561337080584 998 4 2 0.44 3 0.6197629413526827 3.58
true 6.957957131015213e-6 780 4 2 0.44 4 0.6197629413526827 4.03
true 5.608047628563595e-5 407 4 3 0.44 3 0.6197629413526827 1.83
true 3.312988409842621e-5 532 4 3 0.44 4 0.6197629413526827 3.11
true 0.08263394684791994 1333 4 4 0.44 3 0.6197629413526827 5.15
true 3.429189336240368e-5 1650 4 4 0.44 4 0.6197629413526827 7.75
true 3.557706997098231e-5 526 4 1 0.48 3 0.6083694839555642 2.58
