g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 5.23817551667527e-7 60 4 1 0.06 1 3.2712639605332464e-5 0.1088626
true 2.8258614504506063e-6 140 4 1 0.06 2 3.2712639605332464e-5 0.4317588
true 6.441259489675666e-7 257 4 1 0.06 3 3.2712639605332464e-5 1.1789861
true 9.439029023949885e-7 407 4 1 0.06 4 3.2712639605332464e-5 2.3955351
true 2.854233791538263e-7 61 4 1 0.061 1 3.7745858669995024e-5 0.1184611
true 2.8017534440816227e-6 138 4 1 0.061 2 3.7745858669995024e-5 0.4285848
true 1.3351467259559158e-7 247 4 1 0.061 3 3.7745858669995024e-5 1.2840978
true 9.268679802554303e-7 435 4 1 0.061 4 3.7745858669995024e-5 2.5405658
true 8.708614412933358e-8 59 4 1 0.062 1 4.341007974826236e-5 0.1037424
true 3.3547277073497916e-6 116 4 1 0.062 2 4.341007974826236e-5 0.4113238
true 3.886046048728886e-6 226 4 1 0.062 3 4.341007974826236e-5 1.0726892
true 1.4990317221408311e-5 411 4 1 0.062 4 4.341007974826236e-5 2.330114
true 1.2978075947245316e-7 53 4 1 0.063 1 4.97619071631224e-5 0.0908068
true 1.5450322956023221e-6 149 4 1 0.063 2 4.97619071631224e-5 0.486548
true 4.326364238249614e-6 229 4 1 0.063 3 4.97619071631224e-5 1.2193817
true 5.837649281748014e-7 328 4 1 0.063 4 4.97619071631224e-5 1.9941298
true 1.3100447071590082e-7 53 4 1 0.064 1 5.685966778538979e-5 0.1042609
true 4.368092264506185e-6 158 4 1 0.064 2 5.685966778538979e-5 0.5360083
true 1.5727099317297544e-6 335 4 1 0.064 3 5.685966778538979e-5 1.4934763
true 7.27687634816121e-7 330 4 1 0.064 4 5.685966778538979e-5 2.2991434
true 1.4725088609557346e-7 57 4 1 0.065 1 6.476267931970257e-5 0.095475
true 5.627539873820364e-6 143 4 1 0.065 2 6.476267931970257e-5 0.4803695
true 9.435796064494184e-7 245 4 1 0.065 3 6.476267931970257e-5 1.0804832
true 3.1286739518021633e-6 351 4 1 0.065 4 6.476267931970257e-5 2.139023
true 2.055162551251044e-7 53 4 1 0.066 1 7.353031475438847e-5 0.0941268
true 5.576043469623926e-6 145 4 1 0.066 2 7.353031475438847e-5 0.4703876
true 5.158222649181976e-6 205 4 1 0.066 3 7.353031475438847e-5 0.9534506
true 9.334797466509226e-6 413 4 1 0.066 4 7.353031475438847e-5 2.3865928
true 5.16242205761408e-7 65 4 1 0.067 1 8.322093729413909e-5 0.1093353
true 2.171683926743828e-6 157 4 1 0.067 2 8.322093729413909e-5 0.519259
true 2.2057278104559153e-6 255 4 1 0.067 3 8.322093729413909e-5 1.2002691
true 1.8041651937972247e-6 603 4 1 0.067 4 8.322093729413909e-5 3.1403046
true 5.532596313306826e-7 60 4 1 0.068 1 9.389084641884224e-5 0.1024484
true 7.335013720410899e-6 129 4 1 0.068 2 9.389084641884224e-5 0.4287699
true 6.536731066042467e-6 359 4 1 0.068 3 9.389084641884224e-5 1.5554667
true 6.699263051412885e-6 488 4 1 0.068 4 9.389084641884224e-5 3.0066718
true 6.773282897887256e-7 65 4 1 0.069 1 0.00010559342538070729 0.11036
true 6.167013518132425e-6 144 4 1 0.069 2 0.00010559342538070729 0.5215323
true 1.4613810979668962e-6 261 4 1 0.069 3 0.00010559342538070729 1.2202138
true 2.4154129649733846e-6 311 4 1 0.069 4 0.00010559342538070729 1.9943715
true 2.675496111881337e-7 57 4 1 0.07 1 0.0001183786849266515 0.11043
true 9.285981408868604e-6 149 4 1 0.07 2 0.0001183786849266515 0.4739974
true 1.524747081149691e-6 337 4 1 0.07 3 0.0001183786849266515 1.5178364
true 7.924887047650042e-6 424 4 1 0.07 4 0.0001183786849266515 2.729393
true 3.007241643482317e-7 63 4 1 0.071 1 0.00013229333690025464 0.1169079
true 7.578277320285931e-6 125 4 1 0.071 2 0.00013229333690025464 0.3914235
true 5.85403686836905e-6 215 4 1 0.071 3 0.00013229333690025464 1.0530688
true 1.529833519314794e-5 655 4 1 0.071 4 0.00013229333690025464 3.3423067
