g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 0.08235900494388948 46 4 1 0.5 1 0.28487427258540376 6.9342907
true 0.002793256126803534 231 4 1 0.5 2 0.28487427258540376 1.0560398
true 2.4101812357568697e-6 1010 4 1 0.5 3 0.28487427258540376 5.9189696
true 1.8692333711989306e-6 638 4 1 0.5 4 0.28487427258540376 4.9475172
true 0.07536607897957132 49 4 1 0.52 1 0.26764360716632146 0.1305205
true 0.002477758642721928 405 4 1 0.52 2 0.26764360716632146 1.8135713
true 2.3560407711342712e-5 516 4 1 0.52 3 0.26764360716632146 3.1628555
true 1.8737699242210581e-7 656 4 1 0.52 4 0.26764360716632146 5.6531974
true 0.06916288898219791 55 4 1 0.54 1 0.25177128255480474 0.1708545
true 0.0021992684519392403 459 4 1 0.54 2 0.25177128255480474 1.9645235
true 4.919790698165727e-6 520 4 1 0.54 3 0.25177128255480474 3.1658375
true 5.0315766633668435e-5 580 4 1 0.54 4 0.25177128255480474 4.9231671
true 0.0636477072491019 63 4 1 0.56 1 0.23715880757241 0.1670831
true 0.0019551562222575036 273 4 1 0.56 2 0.23715880757241 1.2354467
true 1.6985041707329174e-5 658 4 1 0.56 3 0.23715880757241 3.9851795
true 3.251558289285583e-7 425 4 1 0.56 4 0.23715880757241 4.1099348
true 0.058732764332364906 54 4 1 0.58 1 0.2237065702158646 0.1501417
true 0.0017390019382904631 353 4 1 0.58 2 0.2237065702158646 1.6400008
true 1.688061994475909e-5 383 4 1 0.58 3 0.2237065702158646 2.5464862
true 1.2944000832848523e-6 641 4 1 0.58 4 0.2237065702158646 5.3231987
true 0.05434161692240702 94 4 1 0.6 1 0.2113174498395564 0.2346566
true 0.0015501425796048962 162 4 1 0.6 2 0.2113174498395564 0.7966096
true 9.939198999942e-7 1159 4 1 0.6 3 0.2113174498395564 6.2405767
true 3.286091632692667e-7 740 4 1 0.6 4 0.2113174498395564 5.4004846
true 0.050406099516902114 53 4 1 0.62 1 0.1998990564015115 0.1388305
true 0.0013843469462654912 204 4 1 0.62 2 0.1998990564015115 0.9080638
true 1.214802806287496e-5 429 4 1 0.62 3 0.1998990564015115 2.4277038
true 2.8176253236145143e-7 525 4 1 0.62 4 0.1998990564015115 4.1325281
true 0.04687088498852238 56 4 1 0.64 1 0.1893649918020645 0.1286119
true 0.0012386520795794054 378 4 1 0.64 2 0.1893649918020645 1.5541934
true 3.4388387880057714e-6 543 4 1 0.64 3 0.1893649918020645 3.0501743
true 1.0545056001731723e-6 943 4 1 0.64 4 0.1893649918020645 6.7015596
true 0.043685677923898436 57 4 1 0.66 1 0.17963543661455567 0.1629349
true 0.0011105075718287893 240 4 1 0.66 2 0.17963543661455567 0.9717286
true 6.14630049977638e-6 750 4 1 0.66 3 0.17963543661455567 4.0416448
true 1.6230368882208523e-7 454 4 1 0.66 4 0.17963543661455567 3.8228497
true 0.04080810470583984 51 4 1 0.68 1 0.1706372869150206 0.1407363
true 0.000997641882248379 285 4 1 0.68 2 0.1706372869150206 1.0812407
true 7.860875046727944e-6 569 4 1 0.68 3 0.1706372869150206 3.1155001
true 2.0161611865576745e-6 657 4 1 0.68 4 0.1706372869150206 4.6959104
true 0.03820171403861222 56 4 1 0.7 1 0.16230400306257262 0.1592622
true 0.0008981368269095902 264 4 1 0.7 2 0.16230400306257262 1.0865983
true 1.2070354821369644e-5 447 4 1 0.7 3 0.16230400306257262 2.5136583
true 1.3540930559607922e-6 602 4 1 0.7 4 0.16230400306257262 4.4081535
true 0.03583411314094176 55 4 1 0.72 1 0.15457528421214195 0.1331056
true 0.0008102497107717044 208 4 1 0.72 2 0.15457528421214195 0.8584045
true 0.0007786613796807451 410 4 1 0.72 3 0.15457528421214195 2.4172669
true 1.429468807434553e-6 973 4 1 0.72 4 0.15457528421214195 6.9225216
true 0.03367770812415549 60 4 1 0.74 1 0.1473966467251366 0.1510507
true 0.0007324851335714921 581 4 1 0.74 2 0.1473966467251366 2.1537397
true 9.185237085762576e-6 567 4 1 0.74 3 0.1473966467251366 3.1977115
true 9.552980477223194e-7 879 4 1 0.74 4 0.1473966467251366 6.0580646
